Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Thomas Aquilina,24,Centre-Back,€375k,"Australia, Malta"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Charles M'Mombwa,27,Central Midfield,€200k,"Tanzania, Australia"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Kota Mizunuma,35,Right Midfield,€350k,Japan
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Clayton Taylor,21,Attacking Midfield,€350k,Australia
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Eli Adams,23,Attacking Midfield,€250k,Australia
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Jordan Baylis,19,Goalkeeper,,Australia
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Matthew Scarcella,21,Central Midfield,€100k,"Australia, Italy"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Lachlan Bayliss,22,Attacking Midfield,€250k,"New Zealand, Australia"
"Sat, 4/12/25",Newcastle United Jets,Central Coast Mariners,Substitutes,Ben Gibson,22,Centre-Forward,€175k,Australia
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Nathan Paull,21,Centre-Back,€325k,Australia
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Harrison Steele,22,Central Midfield,€300k,Australia
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Alfie McCalmont,25,Central Midfield,€300k,"Northern Ireland, England"
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Mikael Doka,25,Right Midfield,€450k,Brazil
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Lucas Mauragis,23,Left Midfield,€400k,"Australia, Lithuania"
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Miguel Di Pizio,19,Right Winger,€250k,Australia
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Jack Warshawsky,20,Goalkeeper,€50k,Australia
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Storm Roux,32,Right Midfield,€325k,"New Zealand, Australia"
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Lucas Scicluna,19,Central Midfield,,"Malta, Australia"
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Vitor Feijão,28,Left Winger,€150k,Brazil
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Abdul Faisal,19,Right Midfield,€150k,Australia
"Sat, 4/12/25",Central Coast Mariners,Newcastle United Jets,Substitutes,Nicholas Duarte,21,Centre-Forward,€50k,Australia
