Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Kaelan Majekodunmi,21,Centre-Back,€100k,"Australia, England"
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Yuto Misao,33,Left-Back,€125k,Japan
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Josh Risdon,32,Right-Back,€350k,Australia
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Nicholas Pennington,26,Central Midfield,€350k,"Australia, Italy"
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Luke Amos,28,Central Midfield,€250k,"England, Nigeria"
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Trent Ostler,23,Left Winger,€200k,Australia
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Nikola Mileusnic,31,Right Winger,€300k,"Australia, Serbia"
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Jaylan Pearman,18,Second Striker,€50k,Australia
"Sat, 4/12/25",Perth Glory,Adelaide United,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sat, 4/12/25",Perth Glory,Adelaide United,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 4/12/25",Perth Glory,Adelaide United,Substitutes,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Sat, 4/12/25",Perth Glory,Adelaide United,Substitutes,Brandon O'Neill,31,Defensive Midfield,€300k,Australia
"Sat, 4/12/25",Perth Glory,Adelaide United,Substitutes,William Freney,19,Central Midfield,,Australia
"Sat, 4/12/25",Perth Glory,Adelaide United,Substitutes,Adam Bugarija,20,Second Striker,€150k,"Australia, Spain"
"Sat, 4/12/25",Perth Glory,Adelaide United,Substitutes,Khoa Ngo,18,Centre-Forward,€150k,Australia
"Sat, 4/12/25",Perth Glory,Adelaide United,Substitutes,Patrick Wood,22,Right Winger,€300k,Australia
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Max Vartuli,20,Goalkeeper,€25k,"Australia, Italy"
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Jordan Elsey,31,Centre-Back,€300k,"Australia, England"
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Panagiotis Kikianis,20,Centre-Back,€300k,Australia
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Javi López,39,Left-Back,€125k,Spain
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Dylan Pierias,25,Right-Back,€450k,"Australia, Italy"
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Stefan Mauk,29,Defensive Midfield,€650k,"Australia, Germany"
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Zach Clough,30,Attacking Midfield,€650k,England
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Jonny Yull,20,Right Winger,€225k,"Australia, England"
"Sat, 4/12/25",Adelaide United,Perth Glory,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 4/12/25",Adelaide United,Perth Glory,Substitutes,James Delianov,25,Goalkeeper,€300k,Australia
"Sat, 4/12/25",Adelaide United,Perth Glory,Substitutes,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 4/12/25",Adelaide United,Perth Glory,Substitutes,Isaías Sánchez,38,Defensive Midfield,€150k,"Spain, Australia"
"Sat, 4/12/25",Adelaide United,Perth Glory,Substitutes,Jay Barnett,24,Defensive Midfield,€250k,Australia
"Sat, 4/12/25",Adelaide United,Perth Glory,Substitutes,Ryan White,20,Left Winger,€125k,Australia
"Sat, 4/12/25",Adelaide United,Perth Glory,Substitutes,Yaya Dukuly,22,Right Winger,€125k,"Australia, Guinea"
"Sat, 4/12/25",Adelaide United,Perth Glory,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
