Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Alexandar Popovic,22,Centre-Back,€350k,Australia
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Joel King,24,Centre-Back,€400k,Australia
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Rhyan Grant,34,Centre-Back,€450k,Australia
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€450k,Australia
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Zach De Jesus,19,Right-Back,€50k,Australia
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Léo Sena,29,Defensive Midfield,€550k,Brazil
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Anthony Cáceres,32,Defensive Midfield,€600k,"Australia, Uruguay"
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Anas Ouahim,27,Attacking Midfield,€600k,"Morocco, Germany"
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Adrian Segecic,20,Centre-Forward,€400k,"Australia, Croatia"
"Sat, 4/12/25",Sydney FC,Auckland FC,Starting XI,Joe Lolley,32,Centre-Forward,€1.30m,England
"Sat, 4/12/25",Sydney FC,Auckland FC,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Sat, 4/12/25",Sydney FC,Auckland FC,Substitutes,Kyle Shaw,21,Centre-Back,,"Australia, Ireland"
"Sat, 4/12/25",Sydney FC,Auckland FC,Substitutes,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 4/12/25",Sydney FC,Auckland FC,Substitutes,Tiago Quintal,18,Centre-Forward,€100k,"Australia, Portugal"
"Sat, 4/12/25",Sydney FC,Auckland FC,Substitutes,Jaiden Kucharski,22,Centre-Forward,€400k,"Australia, Poland"
"Sat, 4/12/25",Sydney FC,Auckland FC,Substitutes,Douglas Costa,34,Right Winger,€700k,Brazil
"Sat, 4/12/25",Sydney FC,Auckland FC,Substitutes,Jaushua Sotirio,29,Centre-Forward,€250k,"Neukaledonien, Australia"
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Nando Pijnaker,26,Centre-Back,€375k,"New Zealand, Netherlands"
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Daniel Hall,25,Centre-Back,€400k,"Australia, Fiji"
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Hiroki Sakai,35,Right-Back,€550k,Japan
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Marlee Francois,22,Left Winger,€50k,"Australia, England"
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Cameron Howieson,30,Second Striker,€375k,"New Zealand, Scotland"
"Sat, 4/12/25",Auckland FC,Sydney FC,Starting XI,Guillermo May,27,Centre-Forward,€750k,"Uruguay, Italy"
"Sat, 4/12/25",Auckland FC,Sydney FC,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 4/12/25",Auckland FC,Sydney FC,Substitutes,Tommy Smith,35,Centre-Back,€100k,"New Zealand, England"
"Sat, 4/12/25",Auckland FC,Sydney FC,Substitutes,Callan Elliot,25,Right Midfield,€300k,"New Zealand, Scotland"
"Sat, 4/12/25",Auckland FC,Sydney FC,Substitutes,Jake Brimmer,27,Second Striker,€650k,"Australia, Malta"
"Sat, 4/12/25",Auckland FC,Sydney FC,Substitutes,Neyder Moreno,28,Left Winger,€450k,Colombia
"Sat, 4/12/25",Auckland FC,Sydney FC,Substitutes,Liam Gillion,22,Left Winger,€400k,New Zealand
"Sat, 4/12/25",Auckland FC,Sydney FC,Substitutes,Jesse Randall,22,Right Winger,€250k,New Zealand
