Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Joshua Oluwayemi,24,Goalkeeper,€300k,"Nigeria, England"
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Isaac Hughes,21,Centre-Back,€300k,"New Zealand, England"
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Tim Payne,31,Right-Back,€450k,New Zealand
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Corban Piper,22,Central Midfield,€250k,New Zealand
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Matthew Sheridan,20,Central Midfield,€250k,New Zealand
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Kazuki Nagasawa,33,Attacking Midfield,€225k,Japan
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Hideki Ishige,30,Attacking Midfield,€400k,Japan
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Starting XI,Kosta Barbarouses,35,Centre-Forward,€375k,"New Zealand, Greece"
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Substitutes,Dublin Boon,20,Goalkeeper,€100k,New Zealand
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Substitutes,Lukas Kelly-Heald,20,Defensive Midfield,€250k,New Zealand
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Substitutes,Paulo Retre,32,Attacking Midfield,€350k,"Australia, Portugal"
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Substitutes,Fin Roa Conchie,21,Central Midfield,€200k,New Zealand
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Substitutes,Luke Brooke-Smith,16,Attacking Midfield,€75k,New Zealand
"Sat, 4/12/25",Wellington Phoenix,Melbourne Victory,Substitutes,Nathan Walker,19,Attacking Midfield,€175k,New Zealand
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Lachlan Jackson,30,Centre-Back,€500k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Roderick Miranda,34,Centre-Back,€700k,"Portugal, Brazil"
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Jordi Valadon,22,Defensive Midfield,€350k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Daniel Arzani,26,Right Winger,€500k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Starting XI,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Substitutes,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Substitutes,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Substitutes,Joshua Inserra,20,Centre-Back,€50k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Substitutes,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Substitutes,Alex Badolato,20,Attacking Midfield,€100k,Australia
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Substitutes,Reno Piscopo,26,Right Winger,€500k,"Australia, Italy"
"Sat, 4/12/25",Melbourne Victory,Wellington Phoenix,Substitutes,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
