Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€150k,Australia
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Joshua Brillante,32,Central Midfield,€450k,"Australia, Italy"
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Oscar Priestman,22,Central Midfield,€275k,Australia
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Substitutes,Jack Clisby,33,Left-Back,€350k,Australia
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Substitutes,Mohamed Al-Taay,24,Central Midfield,€275k,"Iraq, Australia"
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Substitutes,Juan Mata,36,Attacking Midfield,€500k,Spain
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Substitutes,Jarrod Carluccio,24,Right Winger,€300k,Australia
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Substitutes,Aydan Hammond,21,Right Winger,€150k,"Australia, Peru"
"Sun, 4/13/25",Western Sydney Wanderers,Western United FC,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Matt Sutton,25,Goalkeeper,€300k,Australia
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Riku Danzaki,24,Left Winger,€325k,Japan
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Matthew Grimaldi,21,Right Winger,€250k,Australia
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Hiroshi Ibusuki,34,Centre-Forward,€225k,Japan
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Substitutes,James Donachie,31,Left-Back,€250k,Australia
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Substitutes,Jordan Lauton,22,Central Midfield,€100k,Australia
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Substitutes,Ramy Najjarine,24,Left Winger,€300k,"Australia, Lebanon"
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Substitutes,Jake Najdovski,20,Centre-Forward,€50k,Australia
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Sun, 4/13/25",Western United FC,Western Sydney Wanderers,Substitutes,Luke Vickery,19,Right Winger,€25k,Australia
