Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Lucas Herrington,17,Centre-Back,€125k,Australia
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€300k,"Australia, England"
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Jack Hingert,34,Right-Back,€150k,"Sri Lanka, Australia"
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Sam Klein,21,Central Midfield,€50k,Australia
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Jay O'Shea,36,Central Midfield,€275k,Ireland
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Jacob Brazete,19,Left Winger,€125k,"Australia, Portugal"
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Keegan Jelacic,22,Right Winger,€300k,"Australia, New Zealand"
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Florin Bérenguer,36,Second Striker,€250k,France
"Thu, 4/17/25",Brisbane Roar,Western United FC,Starting XI,Asumah Abubakar,27,Centre-Forward,€100k,"Portugal, Ghana"
"Thu, 4/17/25",Brisbane Roar,Western United FC,Substitutes,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Thu, 4/17/25",Brisbane Roar,Western United FC,Substitutes,Austin Ludwik,28,Centre-Back,,Australia
"Thu, 4/17/25",Brisbane Roar,Western United FC,Substitutes,Louis Zabala,24,Right-Back,€200k,Australia
"Thu, 4/17/25",Brisbane Roar,Western United FC,Substitutes,Walid Shour,28,Defensive Midfield,€300k,"Lebanon, Sierra Leone"
"Thu, 4/17/25",Brisbane Roar,Western United FC,Substitutes,Adam Zimarino,23,Left Winger,€100k,Australia
"Thu, 4/17/25",Brisbane Roar,Western United FC,Substitutes,Nathan Amanatidis,19,Right Winger,€125k,Australia
"Thu, 4/17/25",Brisbane Roar,Western United FC,Substitutes,Ben Halloran,32,Centre-Forward,€350k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Matt Sutton,25,Goalkeeper,€300k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Riku Danzaki,24,Left Winger,€325k,Japan
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Matthew Grimaldi,21,Right Winger,€250k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Hiroshi Ibusuki,34,Centre-Forward,€225k,Japan
"Thu, 4/17/25",Western United FC,Brisbane Roar,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Thu, 4/17/25",Western United FC,Brisbane Roar,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Substitutes,James Donachie,31,Right-Back,€250k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Substitutes,Jordan Lauton,22,Central Midfield,€100k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Substitutes,Ramy Najjarine,24,Left Winger,€300k,"Australia, Lebanon"
"Thu, 4/17/25",Western United FC,Brisbane Roar,Substitutes,Jake Najdovski,20,Centre-Forward,€50k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Substitutes,Michael Ruhs,22,Left Winger,€150k,Australia
"Thu, 4/17/25",Western United FC,Brisbane Roar,Substitutes,Luke Vickery,19,Right Winger,€25k,Australia
