Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Max Vartuli,20,Goalkeeper,€25k,"Australia, Italy"
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Panagiotis Kikianis,20,Centre-Back,€300k,Australia
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Dylan Pierias,25,Right-Back,€450k,"Australia, Italy"
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Jay Barnett,24,Defensive Midfield,€250k,Australia
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Yaya Dukuly,22,Left Winger,€125k,"Australia, Guinea"
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Zach Clough,30,Right Winger,€650k,England
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Substitutes,James Delianov,25,Goalkeeper,€300k,Australia
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Substitutes,Javi López,39,Right-Back,€125k,Spain
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Substitutes,Isaías Sánchez,38,Defensive Midfield,€150k,"Spain, Australia"
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Substitutes,Jonny Yull,20,Left Winger,€225k,"Australia, England"
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Substitutes,Ryan White,20,Attacking Midfield,€125k,Australia
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Substitutes,Ben Folami,25,Right Winger,€400k,"Australia, Nigeria"
"Fri, 4/18/25",Adelaide United,Wellington Phoenix,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Joshua Oluwayemi,24,Goalkeeper,€300k,"Nigeria, England"
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Corban Piper,22,Centre-Back,€250k,New Zealand
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Isaac Hughes,21,Centre-Back,€300k,"New Zealand, England"
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Lukas Kelly-Heald,20,Defensive Midfield,€250k,New Zealand
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Matthew Sheridan,20,Central Midfield,€250k,New Zealand
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Tim Payne,31,Right Midfield,€450k,New Zealand
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Sam Sutton,23,Left Midfield,€350k,"New Zealand, England"
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Hideki Ishige,30,Second Striker,€400k,Japan
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Starting XI,Kosta Barbarouses,35,Centre-Forward,€375k,"New Zealand, Greece"
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Substitutes,Dublin Boon,20,Goalkeeper,€100k,New Zealand
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Substitutes,Fin Roa Conchie,21,Central Midfield,€200k,New Zealand
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Substitutes,Kazuki Nagasawa,33,Central Midfield,€225k,Japan
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Substitutes,Luke Brooke-Smith,16,Central Midfield,€75k,New Zealand
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Substitutes,Nathan Walker,19,Right Winger,€175k,New Zealand
"Fri, 4/18/25",Wellington Phoenix,Adelaide United,Substitutes,Luke Supyk,19,Left Winger,€100k,"New Zealand, England"
