Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Mitchell Langerak,36,Goalkeeper,€275k,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Lachlan Jackson,30,Centre-Back,€500k,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Roderick Miranda,34,Centre-Back,€700k,"Portugal, Brazil"
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Jordi Valadon,22,Defensive Midfield,€350k,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Zinédine Machach,29,Defensive Midfield,€650k,"France, Morocco"
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Alex Badolato,20,Attacking Midfield,€100k,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Daniel Arzani,26,Right Winger,€500k,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Starting XI,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Substitutes,Jack Duncan,32,Goalkeeper,€250k,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Substitutes,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Substitutes,Joshua Inserra,20,Right-Back,€50k,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Substitutes,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Substitutes,Luka Kolic,20,Central Midfield,,Australia
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Substitutes,Jing Reec,21,Right Winger,€150k,"Australia, Southern Sudan"
"Sat, 4/19/25",Melbourne Victory,Auckland FC,Substitutes,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Nando Pijnaker,26,Centre-Back,€375k,"New Zealand, Netherlands"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Daniel Hall,25,Centre-Back,€400k,"Australia, Fiji"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Hiroki Sakai,35,Centre-Back,€550k,Japan
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Callan Elliot,25,Right Midfield,€300k,"New Zealand, Scotland"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Francis de Vries,30,Left Midfield,€450k,New Zealand
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Jake Brimmer,27,Attacking Midfield,€650k,"Australia, Malta"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Logan Rogerson,26,Centre-Forward,€350k,New Zealand
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Starting XI,Guillermo May,27,Centre-Forward,€750k,"Uruguay, Italy"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Substitutes,Tommy Smith,35,Centre-Back,€100k,"New Zealand, England"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Substitutes,Cameron Howieson,30,Central Midfield,€375k,"New Zealand, Scotland"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Substitutes,Neyder Moreno,28,Right Winger,€450k,Colombia
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Substitutes,Marlee Francois,22,Left Winger,€50k,"Australia, England"
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Substitutes,Jesse Randall,22,Right Winger,€250k,New Zealand
"Sat, 4/19/25",Auckland FC,Melbourne Victory,Substitutes,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
