Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€150k,Australia
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Dean Pelekanos,24,Central Midfield,€175k,Australia
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Oscar Priestman,22,Central Midfield,€275k,Australia
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Substitutes,Jack Clisby,33,Left-Back,€350k,Australia
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Substitutes,Mohamed Al-Taay,24,Central Midfield,€275k,"Iraq, Australia"
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Substitutes,Juan Mata,36,Attacking Midfield,€500k,Spain
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Substitutes,Jarrod Carluccio,24,Right Winger,€300k,Australia
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Substitutes,Aydan Hammond,21,Right Winger,€150k,"Australia, Peru"
"Sat, 4/19/25",Western Sydney Wanderers,Melbourne City FC,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Kai Trewin,23,Centre-Back,€600k,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Steven Ugarkovic,30,Defensive Midfield,€500k,"Australia, Croatia"
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Andreas Kuen,30,Central Midfield,€500k,Austria
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Alessandro Lopane,21,Central Midfield,€275k,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Marco Tilio,23,Left Winger,€800k,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Yonatan Cohen,28,Right Winger,€500k,"Israel, Poland"
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Substitutes,Dakota Ochsenham,25,Goalkeeper,,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Substitutes,Callum Talbot,24,Right-Back,€350k,"Australia, Malta"
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Substitutes,Harrison Shillington,19,Right-Back,,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Substitutes,Zane Schreiber,19,Central Midfield,€200k,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Substitutes,Lawrence Wong,17,Central Midfield,€50k,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Substitutes,Kavian Rahmani,18,Left Winger,€75k,Australia
"Sat, 4/19/25",Melbourne City FC,Western Sydney Wanderers,Substitutes,Medin Memeti,17,Centre-Forward,€150k,Australia
