Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Trent Sainsbury,33,Centre-Back,€500k,"Australia, England"
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Diesel Herrington,20,Right-Back,€150k,Australia
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Alfie McCalmont,25,Central Midfield,€300k,"Northern Ireland, England"
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Haine Eames,17,Central Midfield,€125k,Australia
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Miguel Di Pizio,19,Left Winger,€250k,Australia
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Mikael Doka,25,Right Winger,€450k,Brazil
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Arthur De Lima,17,Centre-Forward,€50k,"Australia, Brazil"
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Substitutes,Jack Warshawsky,20,Goalkeeper,€50k,Australia
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Substitutes,Michael Paragalli,19,Centre-Back,,Australia
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Substitutes,Harrison Steele,22,Central Midfield,€300k,Australia
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Substitutes,Lucas Scicluna,19,Defensive Midfield,,"Malta, Australia"
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Substitutes,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Substitutes,Bailey Brandtman,19,Centre-Forward,€175k,Australia
"Sun, 4/20/25",Central Coast Mariners,Macarthur FC,Substitutes,Nicholas Duarte,21,Centre-Forward,€50k,Australia
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Kevin Boli,33,Centre-Back,€350k,"Cote d'Ivoire, France"
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Ivan Vujica,28,Left-Back,€350k,"Australia, Croatia"
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Kealey Adamson,22,Right-Back,€350k,"Australia, Tanzania"
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Luke Brattan,35,Central Midfield,€400k,"Australia, England"
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Frans Deli,19,Central Midfield,€100k,Australia
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Walter Scott,25,Right Winger,€200k,Australia
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Starting XI,Chris Ikonomidis,29,Centre-Forward,€300k,"Australia, Greece"
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Substitutes,Alex Robinson,20,Goalkeeper,€50k,Australia
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Substitutes,Joshua Damevski,19,Centre-Back,€50k,Australia
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Substitutes,Liam Rose,28,Central Midfield,€250k,Australia
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Substitutes,Peter Makrillos,29,Central Midfield,€275k,"Australia, Greece"
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Substitutes,Daniel De Silva,28,Attacking Midfield,€325k,Australia
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Substitutes,Dean Bosnjak,18,Right Winger,€125k,Australia
"Sun, 4/20/25",Macarthur FC,Central Coast Mariners,Substitutes,Harry Sawyer,28,Centre-Forward,€100k,Australia
