Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Alexandar Popovic,22,Centre-Back,€350k,Australia
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Jordan Courtney-Perkins,22,Centre-Back,€450k,Australia
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Joel King,24,Centre-Back,€400k,Australia
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Anthony Cáceres,32,Defensive Midfield,€600k,"Australia, Uruguay"
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Anas Ouahim,27,Central Midfield,€600k,"Morocco, Germany"
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Adrian Segecic,20,Central Midfield,€400k,"Australia, Croatia"
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Rhyan Grant,34,Right Midfield,€450k,Australia
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Joe Lolley,32,Left Midfield,€1.30m,England
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Jaiden Kucharski,22,Centre-Forward,€400k,"Australia, Poland"
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Starting XI,Douglas Costa,34,Centre-Forward,€700k,Brazil
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Substitutes,Kyle Shaw,21,Centre-Back,,"Australia, Ireland"
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Substitutes,Will Kennedy,20,Left-Back,€50k,"Australia, England"
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Substitutes,Corey Hollman,21,Central Midfield,€350k,Australia
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Substitutes,Wataru Kamijo,19,Central Midfield,€100k,"Australia, Japan"
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Substitutes,Tiago Quintal,18,Attacking Midfield,€100k,"Australia, Portugal"
"Sun, 4/20/25",Sydney FC,Newcastle United Jets,Substitutes,Jaushua Sotirio,29,Centre-Forward,€250k,"Neukaledonien, Australia"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Thomas Aquilina,24,Centre-Back,€375k,"Australia, Malta"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Charles M'Mombwa,27,Central Midfield,€200k,"Tanzania, Australia"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Kota Mizunuma,35,Right Midfield,€350k,Japan
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Clayton Taylor,21,Attacking Midfield,€350k,Australia
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Eli Adams,23,Attacking Midfield,€250k,Australia
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Substitutes,Noah James,24,Goalkeeper,,Australia
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Substitutes,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Substitutes,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Substitutes,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Substitutes,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Substitutes,Wellissol,27,Left Winger,€100k,Brazil
"Sun, 4/20/25",Newcastle United Jets,Sydney FC,Substitutes,Ben Gibson,22,Centre-Forward,€175k,Australia
