Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Kevin Boli,33,Centre-Back,€350k,"Cote d'Ivoire, France"
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Ivan Vujica,28,Centre-Back,€350k,"Australia, Croatia"
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Luke Brattan,35,Central Midfield,€400k,"Australia, England"
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Frans Deli,19,Central Midfield,€100k,Australia
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Walter Scott,25,Right Midfield,€200k,Australia
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Marin Jakolis,28,Left Midfield,€850k,"Croatia, Australia"
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Jake Hollman,23,Left Winger,€400k,Australia
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Kealey Adamson,22,Right Winger,€350k,"Australia, Tanzania"
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Starting XI,Chris Ikonomidis,29,Centre-Forward,€300k,"Australia, Greece"
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Substitutes,Alex Robinson,20,Goalkeeper,€50k,Australia
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Substitutes,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Substitutes,Joshua Damevski,19,Centre-Back,€50k,Australia
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Substitutes,Liam Rose,28,Central Midfield,€250k,Australia
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Substitutes,Daniel De Silva,28,Attacking Midfield,€325k,Australia
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Substitutes,Dean Bosnjak,18,Right Winger,€125k,Australia
"Fri, 4/25/25",Macarthur FC,Melbourne Victory,Substitutes,Harry Sawyer,28,Centre-Forward,€100k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Jack Duncan,32,Goalkeeper,€250k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Lachlan Jackson,30,Centre-Back,€500k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Roderick Miranda,34,Centre-Back,€700k,"Portugal, Brazil"
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Joshua Inserra,20,Right-Back,€50k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Jordi Valadon,22,Defensive Midfield,€350k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Daniel Arzani,26,Right Winger,€500k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Starting XI,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Substitutes,Daniel Graskoski,18,Goalkeeper,,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Substitutes,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Substitutes,Joshua Rawlins,21,Right-Back,€250k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Substitutes,Fabian Monge,23,Defensive Midfield,€175k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Substitutes,Alex Badolato,20,Left Winger,€100k,Australia
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Fri, 4/25/25",Melbourne Victory,Macarthur FC,Substitutes,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
