Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Lucas Herrington,17,Centre-Back,€125k,Australia
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€300k,"Australia, England"
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Jack Hingert,34,Right-Back,€150k,"Sri Lanka, Australia"
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Sam Klein,21,Central Midfield,€50k,Australia
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Jay O'Shea,36,Central Midfield,€275k,Ireland
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Henry Hore,25,Left Winger,€300k,Australia
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Ben Halloran,32,Right Winger,€350k,Australia
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Florin Bérenguer,36,Second Striker,€250k,France
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Starting XI,Asumah Abubakar,27,Centre-Forward,€100k,"Portugal, Ghana"
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Substitutes,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Substitutes,Austin Ludwik,28,Centre-Back,,Australia
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Substitutes,Louis Zabala,24,Left-Back,€200k,Australia
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Substitutes,Keegan Jelacic,22,Right Winger,€300k,"Australia, New Zealand"
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Substitutes,Adam Zimarino,23,Centre-Forward,€100k,Australia
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Substitutes,Nathan Amanatidis,19,Centre-Forward,€125k,Australia
"Sat, 4/26/25",Brisbane Roar,Wellington Phoenix,Substitutes,Jacob Brazete,19,Left Winger,€125k,"Australia, Portugal"
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Joshua Oluwayemi,24,Goalkeeper,€300k,"Nigeria, England"
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Corban Piper,22,Centre-Back,€250k,New Zealand
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Isaac Hughes,21,Centre-Back,€300k,"New Zealand, England"
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Tim Payne,31,Right-Back,€450k,New Zealand
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Lukas Kelly-Heald,20,Defensive Midfield,€250k,New Zealand
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Matthew Sheridan,20,Central Midfield,€250k,New Zealand
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Hideki Ishige,30,Second Striker,€400k,Japan
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Starting XI,Kosta Barbarouses,35,Centre-Forward,€375k,"New Zealand, Greece"
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Substitutes,Dublin Boon,20,Goalkeeper,€100k,New Zealand
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Substitutes,Paulo Retre,32,Defensive Midfield,€350k,"Australia, Portugal"
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Substitutes,Fin Roa Conchie,21,Central Midfield,€200k,New Zealand
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Substitutes,Kazuki Nagasawa,33,Defensive Midfield,€225k,Japan
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Substitutes,Luke Brooke-Smith,16,Central Midfield,€75k,New Zealand
"Sat, 4/26/25",Wellington Phoenix,Brisbane Roar,Substitutes,Nathan Walker,19,Second Striker,€175k,New Zealand
