Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Kai Trewin,23,Centre-Back,€600k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Zane Schreiber,19,Defensive Midfield,€200k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Andreas Kuen,30,Attacking Midfield,€500k,Austria
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Alessandro Lopane,21,Attacking Midfield,€275k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Marco Tilio,23,Left Winger,€800k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Yonatan Cohen,28,Right Winger,€500k,"Israel, Poland"
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Substitutes,Dakota Ochsenham,25,Goalkeeper,,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Substitutes,Callum Talbot,24,Right-Back,€350k,"Australia, Malta"
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Substitutes,Harrison Shillington,19,Right-Back,,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Substitutes,Emin Durakovic,19,Attacking Midfield,€50k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Substitutes,Lawrence Wong,17,Attacking Midfield,€50k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Substitutes,Kavian Rahmani,18,Right Winger,€75k,Australia
"Sat, 4/26/25",Melbourne City FC,Adelaide United,Substitutes,Medin Memeti,17,Centre-Forward,€150k,Australia
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Max Vartuli,20,Goalkeeper,€25k,"Australia, Italy"
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Bart Vriends,33,Centre-Back,€350k,Netherlands
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Panagiotis Kikianis,20,Centre-Back,€300k,Australia
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Javi López,39,Left-Back,€125k,Spain
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Dylan Pierias,25,Right-Back,€450k,"Australia, Italy"
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Isaías Sánchez,38,Defensive Midfield,€150k,"Spain, Australia"
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Ethan Alagich,21,Defensive Midfield,€350k,Australia
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Stefan Mauk,29,Attacking Midfield,€650k,"Australia, Germany"
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Ryan Kitto,30,Left Winger,€450k,Australia
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Zach Clough,30,Right Winger,€650k,England
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Starting XI,Archie Goodwin,20,Centre-Forward,€375k,Australia
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Substitutes,James Delianov,25,Goalkeeper,€300k,Australia
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Substitutes,Jordan Elsey,31,Centre-Back,€300k,"Australia, England"
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Substitutes,Jay Barnett,24,Defensive Midfield,€250k,Australia
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Substitutes,Jonny Yull,20,Right Winger,€225k,"Australia, England"
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Substitutes,Ben Folami,25,Centre-Forward,€400k,"Australia, Nigeria"
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Substitutes,Yaya Dukuly,22,Left Winger,€125k,"Australia, Guinea"
"Sat, 4/26/25",Adelaide United,Melbourne City FC,Substitutes,Luka Jovanovic,19,Centre-Forward,€300k,"Australia, Serbia"
