Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Thomas Aquilina,24,Centre-Back,€375k,"Australia, Malta"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Kosta Grozos,24,Centre-Back,€450k,Australia
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Charles M'Mombwa,27,Central Midfield,€200k,"Tanzania, Australia"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Kota Mizunuma,35,Right Midfield,€350k,Japan
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Clayton Taylor,21,Attacking Midfield,€350k,Australia
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Eli Adams,23,Attacking Midfield,€250k,Australia
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Noah James,24,Goalkeeper,,Australia
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Matthew Scarcella,21,Central Midfield,€100k,"Australia, Italy"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sat, 4/26/25",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Ben Gibson,22,Centre-Forward,€175k,Australia
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Anthony Pantazopoulos,22,Centre-Back,€150k,Australia
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Joshua Brillante,32,Central Midfield,€450k,"Australia, Italy"
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Oscar Priestman,22,Central Midfield,€275k,Australia
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Aydan Hammond,21,Right Winger,€150k,"Australia, Peru"
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Nicolas Milanovic,23,Second Striker,€700k,"Australia, Croatia"
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Jack Clisby,33,Left-Back,€350k,Australia
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Mohamed Al-Taay,24,Central Midfield,€275k,"Iraq, Australia"
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Juan Mata,36,Central Midfield,€500k,Spain
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Jarrod Carluccio,24,Right-Back,€300k,Australia
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sat, 4/26/25",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
