Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Nando Pijnaker,26,Centre-Back,€375k,"New Zealand, Netherlands"
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Daniel Hall,25,Centre-Back,€400k,"Australia, Fiji"
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Hiroki Sakai,35,Right-Back,€550k,Japan
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Louis Verstraete,25,Defensive Midfield,€550k,Belgium
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Jake Brimmer,27,Defensive Midfield,€650k,"Australia, Malta"
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Marlee Francois,22,Left Winger,€50k,"Australia, England"
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Guillermo May,27,Centre-Forward,€750k,"Uruguay, Italy"
"Sun, 4/27/25",Auckland FC,Perth Glory,Starting XI,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
"Sun, 4/27/25",Auckland FC,Perth Glory,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sun, 4/27/25",Auckland FC,Perth Glory,Substitutes,Tommy Smith,35,Centre-Back,€100k,"New Zealand, England"
"Sun, 4/27/25",Auckland FC,Perth Glory,Substitutes,Callan Elliot,25,Left-Back,€300k,"New Zealand, Scotland"
"Sun, 4/27/25",Auckland FC,Perth Glory,Substitutes,Cameron Howieson,30,Central Midfield,€375k,"New Zealand, Scotland"
"Sun, 4/27/25",Auckland FC,Perth Glory,Substitutes,Neyder Moreno,28,Left Winger,€450k,Colombia
"Sun, 4/27/25",Auckland FC,Perth Glory,Substitutes,Liam Gillion,22,Right Winger,€400k,New Zealand
"Sun, 4/27/25",Auckland FC,Perth Glory,Substitutes,Jesse Randall,22,Centre-Forward,€250k,New Zealand
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Kaelan Majekodunmi,21,Centre-Back,€100k,"Australia, England"
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Yuto Misao,34,Left-Back,€125k,Japan
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Josh Risdon,32,Right-Back,€350k,Australia
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,William Freney,19,Central Midfield,,Australia
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Luke Amos,28,Central Midfield,€250k,"England, Nigeria"
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Trent Ostler,23,Left Winger,€200k,Australia
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Nikola Mileusnic,31,Right Winger,€300k,"Australia, Serbia"
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Jaylan Pearman,19,Second Striker,€50k,Australia
"Sun, 4/27/25",Perth Glory,Auckland FC,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sun, 4/27/25",Perth Glory,Auckland FC,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sun, 4/27/25",Perth Glory,Auckland FC,Substitutes,Tass Mourdoukoutas,26,Centre-Back,€200k,"Australia, Greece"
"Sun, 4/27/25",Perth Glory,Auckland FC,Substitutes,Takuya Okamoto,32,Right-Back,€225k,Japan
"Sun, 4/27/25",Perth Glory,Auckland FC,Substitutes,Brandon O'Neill,31,Central Midfield,€300k,Australia
"Sun, 4/27/25",Perth Glory,Auckland FC,Substitutes,Taras Gomulka,23,Defensive Midfield,€350k,"Australia, Ukraine"
"Sun, 4/27/25",Perth Glory,Auckland FC,Substitutes,Adam Bugarija,20,Central Midfield,€150k,"Australia, Spain"
"Sun, 4/27/25",Perth Glory,Auckland FC,Substitutes,Khoa Ngo,18,Right Winger,€150k,Australia
