Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Matt Sutton,25,Goalkeeper,€300k,Australia
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,James Donachie,31,Centre-Back,€250k,Australia
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Tomoki Imai,34,Right-Back,€250k,Japan
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Riku Danzaki,24,Left Winger,€325k,Japan
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Matthew Grimaldi,21,Right Winger,€250k,Australia
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Sun, 4/27/25",Western United FC,Sydney FC,Starting XI,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Sun, 4/27/25",Western United FC,Sydney FC,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Sun, 4/27/25",Western United FC,Sydney FC,Substitutes,Charbel Shamoon,21,Right-Back,€200k,"Iraq, Australia"
"Sun, 4/27/25",Western United FC,Sydney FC,Substitutes,Jordan Lauton,22,Central Midfield,€100k,Australia
"Sun, 4/27/25",Western United FC,Sydney FC,Substitutes,Ramy Najjarine,25,Left Winger,€300k,"Australia, Lebanon"
"Sun, 4/27/25",Western United FC,Sydney FC,Substitutes,Abel Walatee,21,Right Winger,€200k,"Australia, Ghana"
"Sun, 4/27/25",Western United FC,Sydney FC,Substitutes,Oli Lavale,20,Centre-Forward,€100k,Australia
"Sun, 4/27/25",Western United FC,Sydney FC,Substitutes,Luke Vickery,19,Centre-Forward,€25k,Australia
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Alexandar Popovic,22,Centre-Back,€350k,Australia
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Jordan Courtney-Perkins,22,Centre-Back,€450k,Australia
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Joel King,24,Centre-Back,€400k,Australia
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Joe Lolley,32,Left-Back,€1.30m,England
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Rhyan Grant,34,Right-Back,€450k,Australia
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Wataru Kamijo,19,Central Midfield,€100k,"Australia, Japan"
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Anthony Cáceres,32,Central Midfield,€600k,"Australia, Uruguay"
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Jaiden Kucharski,22,Right Midfield,€400k,"Australia, Poland"
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Adrian Segecic,20,Left Midfield,€400k,"Australia, Croatia"
"Sun, 4/27/25",Sydney FC,Western United FC,Starting XI,Douglas Costa,34,Centre-Forward,€700k,Brazil
"Sun, 4/27/25",Sydney FC,Western United FC,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Sun, 4/27/25",Sydney FC,Western United FC,Substitutes,Kyle Shaw,21,Centre-Back,,"Australia, Ireland"
"Sun, 4/27/25",Sydney FC,Western United FC,Substitutes,Will Kennedy,20,Left-Back,€50k,"Australia, England"
"Sun, 4/27/25",Sydney FC,Western United FC,Substitutes,Tiago Quintal,18,Centre-Forward,€100k,"Australia, Portugal"
"Sun, 4/27/25",Sydney FC,Western United FC,Substitutes,Anas Ouahim,27,Right Midfield,€600k,"Morocco, Germany"
"Sun, 4/27/25",Sydney FC,Western United FC,Substitutes,Joseph Lacey,17,Attacking Midfield,€25k,"Australia, England"
"Sun, 4/27/25",Sydney FC,Western United FC,Substitutes,Mathias Macallister,18,Centre-Forward,,"Australia, Norway"
