Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€300k,Australia
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Nathan Paull,21,Centre-Back,€325k,Australia
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Brian Kaltak,31,Centre-Back,€500k,Vanuatu
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Diesel Herrington,20,Right-Back,€150k,Australia
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Alfie McCalmont,25,Central Midfield,€300k,"Northern Ireland, England"
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Haine Eames,17,Central Midfield,€125k,Australia
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Bailey Brandtman,19,Left Winger,€175k,Australia
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Mikael Doka,25,Right Winger,€450k,Brazil
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Arthur De Lima,17,Centre-Forward,€50k,"Australia, Brazil"
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Substitutes,Michael Paragalli,19,Centre-Back,,Australia
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Substitutes,Harrison Steele,22,Defensive Midfield,€300k,Australia
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Substitutes,Christian Theoharous,25,Right Winger,€300k,"Australia, Cyprus"
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Substitutes,Vitor Feijão,28,Left Winger,€150k,Brazil
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Substitutes,Miguel Di Pizio,19,Second Striker,€250k,Australia
"Fri, 5/2/25",Central Coast Mariners,Brisbane Roar,Substitutes,Nicholas Duarte,21,Centre-Forward,€50k,Australia
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Matt Acton,32,Goalkeeper,€150k,"Australia, Finland"
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Lucas Herrington,17,Centre-Back,€125k,Australia
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Hosine Bility,23,Centre-Back,€100k,"Australia, Guinea"
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€300k,"Australia, England"
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Jack Hingert,34,Right-Back,€150k,"Sri Lanka, Australia"
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Sam Klein,21,Defensive Midfield,€50k,Australia
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Jay O'Shea,36,Defensive Midfield,€275k,Ireland
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Florin Bérenguer,36,Attacking Midfield,€250k,France
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Keegan Jelacic,22,Left Winger,€300k,"Australia, New Zealand"
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Henry Hore,25,Right Winger,€300k,Australia
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Starting XI,Asumah Abubakar,27,Centre-Forward,€100k,"Portugal, Ghana"
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Substitutes,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Substitutes,Austin Ludwik,28,Centre-Back,,Australia
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Substitutes,Louis Zabala,24,Left-Back,€200k,Australia
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Substitutes,Walid Shour,28,Defensive Midfield,€300k,"Lebanon, Sierra Leone"
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Substitutes,Adam Zimarino,23,Left Winger,€100k,Australia
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Substitutes,Jacob Brazete,19,Left Winger,€125k,"Australia, Portugal"
"Fri, 5/2/25",Brisbane Roar,Central Coast Mariners,Substitutes,Ben Halloran,32,Centre-Forward,€350k,Australia
