Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Filip Kurto,33,Goalkeeper,€400k,Poland
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Matthew Jurman,35,Centre-Back,€200k,"Australia, England"
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Tomislav Uskok,33,Centre-Back,€250k,"Australia, Croatia"
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Kevin Boli,33,Centre-Back,€350k,"Cote d'Ivoire, France"
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Luke Brattan,35,Defensive Midfield,€400k,"Australia, England"
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Walter Scott,25,Attacking Midfield,€200k,Australia
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Marin Jakolis,28,Left Winger,€850k,"Croatia, Australia"
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Kealey Adamson,22,Right Winger,€350k,"Australia, Tanzania"
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Chris Ikonomidis,29,Centre-Forward,€300k,"Australia, Greece"
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Starting XI,Harry Sawyer,28,Centre-Forward,€100k,Australia
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Alex Robinson,20,Goalkeeper,€50k,Australia
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Joshua Damevski,19,Right-Back,€50k,Australia
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Ivan Vujica,28,Left-Back,€350k,"Australia, Croatia"
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Liam Rose,28,Defensive Midfield,€250k,Australia
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Peter Makrillos,29,Central Midfield,€275k,"Australia, Greece"
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Daniel De Silva,28,Attacking Midfield,€325k,Australia
"Sat, 5/3/25",Macarthur FC,Western Sydney Wanderers,Substitutes,Oliver Randazzo,19,Right Winger,€50k,Australia
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Lawrence Thomas,32,Goalkeeper,€400k,"Australia, Italy"
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Alex Bonetig,22,Centre-Back,€375k,Australia
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Anthony Pantazopoulos,22,Centre-Back,€150k,Australia
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Alex Gersbach,27,Left-Back,€200k,"Australia, Greece"
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Gabriel Cléùr,27,Right-Back,€400k,"Australia, Italy"
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Joshua Brillante,32,Central Midfield,€450k,"Australia, Italy"
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Oscar Priestman,22,Central Midfield,€275k,Australia
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Bozhidar Kraev,27,Left Winger,€600k,Bulgaria
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Nicolas Milanovic,23,Right Winger,€700k,"Australia, Croatia"
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Zachary Sapsford,22,Centre-Forward,€300k,Australia
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Starting XI,Brandon Borrello,29,Centre-Forward,€750k,"Australia, Italy"
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Joshua Laws,27,Centre-Back,€300k,"Australia, Scotland"
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Dean Pelekanos,24,Central Midfield,€175k,Australia
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Juan Mata,37,Left Winger,€500k,Spain
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Jarrod Carluccio,24,Right Winger,€300k,Australia
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Aydan Hammond,21,Centre-Forward,€150k,"Australia, Peru"
"Sat, 5/3/25",Western Sydney Wanderers,Macarthur FC,Substitutes,Marcus Antonsson,33,Centre-Forward,€550k,Sweden
