Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Patrick Beach,21,Goalkeeper,€300k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Germán Ferreyra,29,Centre-Back,€300k,Argentina
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Kai Trewin,23,Centre-Back,€600k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Aziz Behich,34,Left-Back,€350k,"Australia, Türkiye"
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Nathaniel Atkinson,25,Right-Back,€700k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Zane Schreiber,19,Defensive Midfield,€200k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Andreas Kuen,30,Attacking Midfield,€500k,Austria
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Alessandro Lopane,21,Attacking Midfield,€275k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Marco Tilio,23,Left Winger,€800k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Yonatan Cohen,28,Right Winger,€500k,"Israel, Poland"
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Starting XI,Max Caputo,19,Centre-Forward,€225k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Substitutes,Dakota Ochsenham,25,Goalkeeper,,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Substitutes,Callum Talbot,24,Right-Back,€350k,"Australia, Malta"
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Substitutes,Emin Durakovic,19,Attacking Midfield,€50k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Substitutes,Lawrence Wong,17,Attacking Midfield,€50k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Substitutes,Mathew Leckie,34,Attacking Midfield,€450k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Substitutes,Kavian Rahmani,18,Left Winger,€75k,Australia
"Sat, 5/3/25",Melbourne City FC,Sydney FC,Substitutes,Medin Memeti,17,Right Winger,€150k,Australia
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€200k,Australia
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Alexandar Popovic,22,Centre-Back,€350k,Australia
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Jordan Courtney-Perkins,22,Centre-Back,€450k,Australia
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Joel King,24,Centre-Back,€400k,Australia
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Joe Lolley,32,Left-Back,€1.30m,England
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Rhyan Grant,34,Right-Back,€450k,Australia
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Wataru Kamijo,19,Central Midfield,€100k,"Australia, Japan"
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Anthony Cáceres,32,Central Midfield,€600k,"Australia, Uruguay"
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Adrian Segecic,20,Right Midfield,€400k,"Australia, Croatia"
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Anas Ouahim,27,Left Midfield,€600k,"Morocco, Germany"
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Starting XI,Douglas Costa,34,Centre-Forward,€700k,Brazil
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Substitutes,Andrew Redmayne,36,Goalkeeper,€300k,Australia
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Substitutes,Kyle Shaw,21,Centre-Back,,"Australia, Ireland"
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Substitutes,Will Kennedy,20,Left-Back,€50k,"Australia, England"
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Substitutes,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Substitutes,Tiago Quintal,18,Attacking Midfield,€100k,"Australia, Portugal"
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Substitutes,Jaiden Kucharski,22,Left Winger,€400k,"Australia, Poland"
"Sat, 5/3/25",Sydney FC,Melbourne City FC,Substitutes,Patryk Klimala,26,Centre-Forward,€600k,Poland
