Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Matt Sutton,25,Goalkeeper,€300k,Australia
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,James Donachie,31,Centre-Back,€250k,Australia
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Tomoki Imai,34,Right-Back,€250k,Japan
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Angus Thurgate,25,Central Midfield,€550k,Australia
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Riku Danzaki,24,Left Winger,€325k,Japan
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Matthew Grimaldi,21,Right Winger,€250k,Australia
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Noah Botic,23,Centre-Forward,€400k,"Australia, Croatia"
"Sat, 5/3/25",Western United FC,Auckland FC,Starting XI,Michael Ruhs,22,Centre-Forward,€150k,Australia
"Sat, 5/3/25",Western United FC,Auckland FC,Substitutes,Michael Vonja,19,Goalkeeper,€25k,Australia
"Sat, 5/3/25",Western United FC,Auckland FC,Substitutes,Charbel Shamoon,21,Right-Back,€200k,"Iraq, Australia"
"Sat, 5/3/25",Western United FC,Auckland FC,Substitutes,Jordan Lauton,22,Central Midfield,€100k,Australia
"Sat, 5/3/25",Western United FC,Auckland FC,Substitutes,Ramy Najjarine,25,Right Winger,€300k,"Australia, Lebanon"
"Sat, 5/3/25",Western United FC,Auckland FC,Substitutes,Abel Walatee,21,Left Winger,€200k,"Australia, Ghana"
"Sat, 5/3/25",Western United FC,Auckland FC,Substitutes,Oli Lavale,20,Centre-Forward,€100k,Australia
"Sat, 5/3/25",Western United FC,Auckland FC,Substitutes,Luke Vickery,19,Centre-Forward,€25k,Australia
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Alex Paulsen,22,Goalkeeper,€600k,"New Zealand, South Africa"
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Nando Pijnaker,26,Centre-Back,€375k,"New Zealand, Netherlands"
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Daniel Hall,25,Centre-Back,€400k,"Australia, Fiji"
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Francis de Vries,30,Left-Back,€450k,New Zealand
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Hiroki Sakai,35,Right-Back,€550k,Japan
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Louis Verstraete,25,Central Midfield,€550k,Belgium
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€275k,"Chile, Italy"
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Marlee Francois,22,Left Winger,€50k,"Australia, England"
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Logan Rogerson,26,Right Winger,€350k,New Zealand
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Guillermo May,27,Centre-Forward,€750k,"Uruguay, Italy"
"Sat, 5/3/25",Auckland FC,Western United FC,Starting XI,Max Mata,24,Centre-Forward,€250k,"New Zealand, Cookinseln"
"Sat, 5/3/25",Auckland FC,Western United FC,Substitutes,Michael Woud,26,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 5/3/25",Auckland FC,Western United FC,Substitutes,Tommy Smith,35,Centre-Back,€100k,"New Zealand, England"
"Sat, 5/3/25",Auckland FC,Western United FC,Substitutes,Callan Elliot,25,Left-Back,€300k,"New Zealand, Scotland"
"Sat, 5/3/25",Auckland FC,Western United FC,Substitutes,Cameron Howieson,30,Central Midfield,€375k,"New Zealand, Scotland"
"Sat, 5/3/25",Auckland FC,Western United FC,Substitutes,Jake Brimmer,27,Central Midfield,€650k,"Australia, Malta"
"Sat, 5/3/25",Auckland FC,Western United FC,Substitutes,Neyder Moreno,28,Left Winger,€450k,Colombia
"Sat, 5/3/25",Auckland FC,Western United FC,Substitutes,Jesse Randall,22,Centre-Forward,€250k,New Zealand
