Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Jack Duncan,32,Goalkeeper,€250k,Australia
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Lachlan Jackson,30,Centre-Back,€500k,Australia
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Roderick Miranda,34,Centre-Back,€700k,"Portugal, Brazil"
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Joshua Inserra,20,Right-Back,€50k,Australia
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Ryan Teague,23,Defensive Midfield,€450k,Australia
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Jordi Valadon,22,Defensive Midfield,€350k,Australia
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Daniel Arzani,26,Right Winger,€500k,Australia
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Starting XI,Nikolaos Vergos,29,Centre-Forward,€450k,Greece
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Substitutes,Daniel Graskoski,18,Goalkeeper,,Australia
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Substitutes,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Substitutes,Adama Traoré,35,Left-Back,€150k,"Cote d'Ivoire, Australia"
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Substitutes,Joshua Rawlins,21,Right-Back,€250k,Australia
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Substitutes,Alex Badolato,20,Attacking Midfield,€100k,Australia
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Substitutes,Clarismario,23,Right Winger,€350k,Brazil
"Sun, 5/4/25",Melbourne Victory,Newcastle United Jets,Substitutes,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Thomas Aquilina,24,Centre-Back,€375k,"Australia, Malta"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Callum Timmins,25,Central Midfield,€350k,"Australia, England"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Charles M'Mombwa,27,Central Midfield,€200k,"Tanzania, Australia"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Kota Mizunuma,35,Right Midfield,€350k,Japan
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Daniel Wilmering,24,Left Midfield,€300k,"Australia, Germany"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Clayton Taylor,21,Attacking Midfield,€350k,Australia
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Eli Adams,23,Attacking Midfield,€250k,Australia
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Starting XI,Lachlan Rose,25,Centre-Forward,€275k,Australia
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Substitutes,Noah James,24,Goalkeeper,,Australia
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Substitutes,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Substitutes,Matthew Scarcella,21,Central Midfield,€100k,"Australia, Italy"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Substitutes,Lachlan Bayliss,22,Central Midfield,€250k,"New Zealand, Australia"
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Substitutes,Wellissol,27,Centre-Forward,€100k,Brazil
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Substitutes,Ben Gibson,22,Centre-Forward,€175k,Australia
"Sun, 5/4/25",Newcastle United Jets,Melbourne Victory,Substitutes,Justin Vidic,21,Centre-Forward,€100k,Australia
