Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Joshua Oluwayemi,24,Goalkeeper,€300k,"Nigeria, England"
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Scott Wootton,33,Centre-Back,€275k,England
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Isaac Hughes,21,Centre-Back,€300k,"New Zealand, England"
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Corban Piper,22,Right-Back,€250k,New Zealand
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Lukas Kelly-Heald,20,Defensive Midfield,€250k,New Zealand
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Kazuki Nagasawa,33,Attacking Midfield,€225k,Japan
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Hideki Ishige,30,Left Winger,€400k,Japan
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Luke Brooke-Smith,16,Right Winger,€75k,New Zealand
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Starting XI,Kosta Barbarouses,35,Centre-Forward,€375k,"New Zealand, Greece"
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Substitutes,Eamonn McCarron,17,Goalkeeper,,New Zealand
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Substitutes,Paulo Retre,32,Attacking Midfield,€350k,"Australia, Portugal"
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Substitutes,Fin Roa Conchie,21,Central Midfield,€200k,New Zealand
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Substitutes,Matthew Sheridan,20,Defensive Midfield,€250k,New Zealand
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Substitutes,Nathan Walker,19,Left Winger,€175k,New Zealand
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Substitutes,Gabriel Sloane-Rodrigues,17,Right Winger,€75k,"New Zealand, Brazil"
"Sun, 5/4/25",Wellington Phoenix,Perth Glory,Substitutes,Luke Supyk,19,Centre-Forward,€100k,"New Zealand, England"
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Oliver Sail,29,Goalkeeper,€350k,"New Zealand, Australia"
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Kaelan Majekodunmi,21,Centre-Back,€100k,"Australia, England"
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Yuto Misao,34,Left-Back,€125k,Japan
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Takuya Okamoto,32,Right-Back,€225k,Japan
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,William Freney,19,Central Midfield,,Australia
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Luke Amos,28,Central Midfield,€250k,"England, Nigeria"
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Trent Ostler,23,Left Winger,€200k,Australia
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Nikola Mileusnic,31,Right Winger,€300k,"Australia, Serbia"
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Jaylan Pearman,19,Second Striker,€50k,Australia
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Starting XI,Adam Taggart,31,Centre-Forward,€650k,Australia
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Substitutes,Tass Mourdoukoutas,26,Centre-Back,€200k,"Australia, Greece"
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Substitutes,Brandon O'Neill,31,Central Midfield,€300k,Australia
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Substitutes,Taras Gomulka,23,Defensive Midfield,€350k,"Australia, Ukraine"
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Substitutes,Adam Bugarija,20,Central Midfield,€150k,"Australia, Spain"
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Substitutes,Khoa Ngo,18,Left Winger,€150k,Australia
"Sun, 5/4/25",Perth Glory,Wellington Phoenix,Substitutes,Sebastian Despotovski,19,Centre-Forward,,Australia
