Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
James Delianov,Goalkeeper,"Oct 20, 1999 (25)",Australia,"1,88m",right,"Nov 11, 2020",Western United FC,"Jun 30, 2027",€300k
Ethan Cox,Goalkeeper,"Jan 7, 2004 (21)",Australia,"1,82m",right,"Feb 18, 2020",Adelaide United U21,"Jun 30, 2027",€50k
Max Vartuli,Goalkeeper,"Jan 20, 2005 (20)","Australia, Italy","1,92m",left,"Sep 15, 2024",Sydney FC II,"Jun 30, 2027",€25k
Bart Vriends,Centre-Back,"May 9, 1991 (33)",Netherlands,"1,88m",right,"Jul 1, 2024",Sparta Rotterdam,"Jun 30, 2026",€350k
Jordan Elsey,Centre-Back,"Mar 2, 1994 (31)","Australia, England","1,88m",right,"Sep 19, 2024",Without Club,"Jun 30, 2025",€300k
Panagiotis Kikianis,Centre-Back,"Mar 8, 2005 (20)",Australia,"1,85m",right,"Sep 6, 2023",Adelaide United U21,"Jun 30, 2029",€300k
Malual Nichola,Centre-Back,"May 17, 2008 (16)",Australia,"1,79m",right,"Aug 8, 2024",Adelaide United U21,"Jun 30, 2027",-
Feyzo Kasumovic,Centre-Back,"Jan 18, 2008 (17)",Australia,"1,90m",right,"Aug 8, 2024",Adelaide United U21,"Jun 30, 2027",-
Ryan Kitto,Left-Back,"Aug 9, 1994 (30)",Australia,"1,79m",left,"Jul 1, 2016",Newcastle United Jets,"Jun 30, 2027",€450k
Joshua Cavallo,Left-Back,"Nov 13, 1999 (25)","Australia, Italy","1,76m",left,"Feb 18, 2021",Western United FC,"Jun 30, 2025",€150k
Bailey O'Neil,Left-Back,"Feb 2, 2006 (19)",Australia,"1,73m",left,"Sep 6, 2023",Adelaide United U21,"Jun 30, 2025",€25k
Fabian Talladira,Left-Back,"Feb 4, 2006 (19)",Australia,"1,76m",left,"Apr 3, 2024",Adelaide United U21,"Jun 30, 2027",€25k
Dylan Pierias,Right-Back,"Feb 20, 2000 (25)","Australia, Italy","1,75m",right,"Jul 1, 2024",Western Sydney Wanderers,"Jun 30, 2027",€450k
Javi López,Right-Back,"Jan 21, 1986 (39)",Spain,"1,80m",right,"Nov 25, 2020",Without Club,"Jun 30, 2025",€125k
Harry Crawford,Right-Back,"Feb 3, 2007 (18)",Australia,-,right,"Mar 12, 2025",Adelaide United U21,"Jun 30, 2029",-
Jay Barnett,Defensive Midfield,"Feb 14, 2001 (24)",Australia,"1,79m",right,"Feb 8, 2023",Melbourne Victory,"Jun 30, 2028",€250k
Isaías Sánchez,Defensive Midfield,"Feb 9, 1987 (38)","Spain, Australia","1,76m",right,"Aug 23, 2021",Al-Wakrah SC,"Jun 30, 2025",€150k
Luke Duzel,Defensive Midfield,"Feb 5, 2002 (23)","Australia, Croatia","1,82m",right,"Feb 8, 2023",Western United FC,"Jun 30, 2026",€125k
Ethan Alagich,Central Midfield,"Dec 18, 2003 (21)",Australia,"1,78m",left,"Jan 27, 2022",Adelaide United U21,"Jun 30, 2029",€350k
Jonny Yull,Central Midfield,"Mar 5, 2005 (20)","Australia, England","1,74m",right,"Jul 1, 2021",Adelaide United U21,"Jun 30, 2026",€225k
Ryan Tunnicliffe,Central Midfield,"Dec 30, 1992 (32)",England,"1,83m",right,"Sep 19, 2023",Without Club,"Jun 30, 2025",€200k
Panashe Madanha,Right Midfield,"Aug 5, 2004 (20)","Australia, Zimbabwe","1,85m",right,"Jul 1, 2022",Adelaide United U21,"Jun 30, 2026",€125k
Stefan Mauk,Attacking Midfield,"Oct 12, 1995 (29)","Australia, Germany","1,74m",right,"Feb 2, 2024",Fagiano Okayama,"Jun 30, 2027",€650k
Ryan White,Attacking Midfield,"May 23, 2004 (20)",Australia,"1,80m",right,"Oct 21, 2024",Adelaide United U21,"Jun 30, 2029",€125k
Ben Folami,Left Winger,"Jun 8, 1999 (25)","Australia, Nigeria","1,80m",both,"Sep 17, 2024",Melbourne Victory,"Jun 30, 2028",€400k
Austin Ayoubi,Left Winger,"Jul 27, 2001 (23)",Australia,"1,81m",right,"Nov 20, 2023",North Eastern Metro Stars,"Jun 30, 2026",€200k
Amlani Tatu,Left Winger,"Jul 1, 2008 (16)",Australia,"1,75m",right,"Aug 8, 2024",Adelaide United U21,"Jun 30, 2027",-
Zach Clough,Right Winger,"Mar 8, 1995 (30)",England,"1,70m",right,"Feb 5, 2022",Carlisle United,"Jun 30, 2026",€650k
Yaya Dukuly,Right Winger,"Jan 17, 2003 (22)","Australia, Guinea","1,76m",left,"Feb 7, 2024",Stade Reims B,"Jun 30, 2026",€125k
Archie Goodwin,Centre-Forward,"Nov 7, 2004 (20)",Australia,"1,79m",right,"Jul 1, 2024",Newcastle United Jets,"Jun 30, 2028",€375k
Luka Jovanovic,Centre-Forward,"May 20, 2005 (19)","Australia, Serbia","1,79m",right,"Jul 1, 2022",Adelaide United U21,"Jun 30, 2026",€300k
