Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Alex Paulsen,Goalkeeper,"Jul 4, 2002 (22)","New Zealand, South Africa","1,93m",right,"Aug 9, 2024",AFC Bournemouth,"Jun 30, 2025",€600k
Michael Woud,Goalkeeper,"Jan 16, 1999 (26)","New Zealand, Netherlands","1,96m",left,"Jul 1, 2024",Without Club,"Jun 30, 2026",€200k
Joseph Knowles,Goalkeeper,"Nov 2, 2004 (20)",New Zealand,"1,88m",right,"Jul 29, 2024",Eastern Suburbs AFC,"Jun 30, 2026",€125k
Daniel Hall,Centre-Back,"Jun 14, 1999 (25)","Australia, Fiji","1,84m",both,"Jul 2, 2024",Central Coast Mariners,"Jun 30, 2026",€400k
Nando Pijnaker,Centre-Back,"Feb 25, 1999 (26)","New Zealand, Netherlands","1,92m",left,"Sep 3, 2024",Sligo Rovers,"Jun 30, 2027",€375k
Tommy Smith,Centre-Back,"Mar 31, 1990 (35)","New Zealand, England","1,87m",left,"Jul 1, 2024",Macarthur FC,"Jun 30, 2026",€100k
Adama Coulibaly,Centre-Back,"Jan 10, 2005 (20)","New Zealand, Mali","1,81m",right,"Jul 1, 2024",Western Springs AFC,"Jun 30, 2026",€100k
Francis de Vries,Left-Back,"Nov 28, 1994 (30)",New Zealand,"1,88m",left,"Jul 1, 2024",Eastern Suburbs AFC,"Jun 30, 2026",€450k
Scott Galloway,Left-Back,"Apr 25, 1995 (30)","Australia, Northern Ireland","1,76m",right,"Jul 3, 2024",Melbourne City FC,"Jun 30, 2026",€250k
Hiroki Sakai,Right-Back,"Apr 12, 1990 (35)",Japan,"1,85m",right,"Jul 25, 2024",Urawa Red Diamonds,"Jun 30, 2026",€550k
Callan Elliot,Right-Back,"Jul 7, 1999 (25)","New Zealand, Scotland","1,75m",right,"Jul 3, 2024",Motherwell FC,"Jun 30, 2027",€300k
Louis Verstraete,Defensive Midfield,"May 4, 1999 (26)",Belgium,"1,87m",right,"Sep 17, 2024",SK Beveren,"Jun 30, 2026",€550k
Jake Brimmer,Central Midfield,"Apr 3, 1998 (27)","Australia, Malta","1,69m",right,"Jul 9, 2024",Melbourne Victory,"Jun 30, 2028",€650k
Cameron Howieson,Central Midfield,"Dec 22, 1994 (30)","New Zealand, Scotland","1,77m",left,"Jul 1, 2024",Auckland City FC,"Jun 30, 2026",€375k
Luis Felipe Gallegos,Central Midfield,"Dec 3, 1991 (33)","Chile, Italy","1,73m",left,"Sep 16, 2024",OFI Crete FC,"Jun 30, 2026",€275k
Luis Toomey,Central Midfield,"Jul 1, 2001 (23)",New Zealand,"1,78m",right,"Jul 1, 2024",Eastern Suburbs AFC,"Jun 30, 2025",€250k
Finn McKenlay,Central Midfield,"Sep 4, 2005 (19)","New Zealand, England","1,90m",both,"Jul 1, 2024",Eastern Suburbs AFC,"Jun 30, 2026",€200k
Oliver Middleton,Central Midfield,"Sep 19, 2005 (19)",New Zealand,"1,77m",right,"Jul 1, 2024",Auckland United FC,"Jun 30, 2026",€150k
Neyder Moreno,Attacking Midfield,"Feb 9, 1997 (28)",Colombia,"1,75m",right,"Oct 14, 2024",Without Club,"Jun 30, 2025",€450k
Liam Gillion,Left Winger,"Oct 17, 2002 (22)",New Zealand,"1,78m",right,"Jul 1, 2024",Auckland City FC,"Jun 30, 2026",€400k
Marlee Francois,Left Winger,"Dec 29, 2002 (22)","Australia, England","1,81m",right,"Jan 9, 2025",Without Club,"Jun 30, 2026",€50k
Logan Rogerson,Right Winger,"May 28, 1998 (26)",New Zealand,"1,82m",right,"Jul 29, 2024",FC Noah Yerevan,"Jun 30, 2025",€350k
Jesse Randall,Right Winger,"Aug 19, 2002 (22)",New Zealand,"1,76m",right,"Jul 1, 2024",Wellington Olympic AFC,"Jun 30, 2026",€250k
Guillermo May,Centre-Forward,"Mar 11, 1998 (27)","Uruguay, Italy","1,81m",left,"Sep 17, 2024",CA Newell's Old Boys,"Jun 30, 2026",€750k
Max Mata,Centre-Forward,"Jul 10, 2000 (24)","New Zealand, Cookinseln","1,86m",right,"Jul 1, 2024",Shrewsbury Town,"Jun 30, 2025",€250k
Jonty Bidois,Centre-Forward,"Nov 5, 2004 (20)",New Zealand,"1,84m",right,"Jul 1, 2024",Tauranga City AFC,"Jun 30, 2026",€150k
