Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Macklin Freke,Goalkeeper,"Jan 6, 1999 (26)","Australia, New Zealand","1,93m",right,"Aug 5, 2019",Brisbane Roar U21,"Jun 30, 2026",€300k
Matt Acton,Goalkeeper,"Jun 3, 1992 (32)","Australia, Finland","1,84m",right,"Jul 3, 2023",Melbourne Victory,"Jun 30, 2025",€150k
George Plusnin,Goalkeeper,"Dec 27, 2007 (17)",Australia,-,,,-,"Jun 30, 2025",-
Ben Warland,Centre-Back,"Sep 4, 1996 (28)",Australia,"1,85m",left,"Jul 1, 2024",Adelaide United,"Jun 30, 2026",€350k
Marcus Ferkranus,Centre-Back,"May 10, 2003 (21)","Australia, United States","1,85m",right,"Jul 1, 2024",Los Angeles Galaxy,"Jun 30, 2026",€150k
Lucas Herrington,Centre-Back,"Sep 5, 2007 (17)",Australia,"1,86m",right,"Sep 9, 2024",Brisbane Roar U21,"Jun 30, 2027",€125k
Hosine Bility,Centre-Back,"May 10, 2001 (23)","Australia, Guinea","1,87m",right,"Jul 1, 2024",CD Mafra U23,"Jun 30, 2025",€100k
Austin Ludwik,Centre-Back,"Feb 11, 1997 (28)",Australia,"1,83m",right,"Feb 3, 2025",Gold Coast Knights,"Jun 30, 2025",-
Corey Brown,Left-Back,"Jan 7, 1994 (31)",Australia,"1,74m",left,"Jul 1, 2023",Without Club,"Jun 30, 2026",€250k
Louis Zabala,Left-Back,"Jan 25, 2001 (24)",Australia,"1,75m",right,"Jan 22, 2022",Brisbane Roar U21,"Jun 30, 2025",€200k
Pearson Kasawaya,Left-Back,"Oct 14, 2006 (18)",Australia,"1,81m",left,"Sep 19, 2024",Sydney FC II,"Jun 30, 2026",€50k
Antonee Burke-Gilroy,Right-Back,"Oct 3, 1997 (27)","Australia, England","1,78m",right,"Nov 9, 2023",Without Club,"Jun 30, 2025",€300k
Jack Hingert,Right-Back,"Sep 26, 1990 (34)","Sri Lanka, Australia","1,70m",right,"Jul 1, 2011",Dandenong Thunder SC,"Jun 30, 2025",€150k
Walid Shour,Defensive Midfield,"Jun 10, 1996 (28)","Lebanon, Sierra Leone","1,83m",right,"Jul 1, 2024",Al-Ahed,"Jun 30, 2026",€300k
Jay O'Shea,Central Midfield,"Aug 10, 1988 (36)",Ireland,"1,83m",right,"Jul 1, 2019",Bury FC,"Jun 30, 2026",€275k
Sam Klein,Central Midfield,"Mar 15, 2004 (21)",Australia,"1,88m",right,"Sep 20, 2024",Gold Coast Knights,"Jun 30, 2027",€50k
Quinn MacNicol,Central Midfield,"Jan 10, 2008 (17)",Australia,"1,75m",right,"Sep 15, 2023",Brisbane Roar U21,"Jun 30, 2025",€50k
Keegan Jelacic,Attacking Midfield,"Jul 31, 2002 (22)","Australia, New Zealand","1,80m",right,"Jan 12, 2024",KAA Gent,"Jun 30, 2025",€300k
Florin Bérenguer,Attacking Midfield,"Apr 1, 1989 (36)",France,"1,82m",right,"Aug 11, 2023",Melbourne City FC,"Jun 30, 2025",€250k
James Durrington,Attacking Midfield,"Mar 26, 2006 (19)",Australia,"1,73m",,,-,"Jun 30, 2025",-
Rafael Struick,Left Winger,"Mar 27, 2003 (22)","Indonesia, Netherlands","1,85m",right,"Sep 16, 2024",ADO Den Haag,"Jun 30, 2025",€200k
Ben Halloran,Right Winger,"Jun 14, 1992 (32)",Australia,"1,82m",right,"Jul 1, 2024",Adelaide United,"Jun 30, 2025",€350k
Henry Hore,Right Winger,"Aug 17, 1999 (25)",Australia,"1,80m",both,"Sep 28, 2021",South Melbourne FC,"Jun 30, 2026",€300k
Nathan Amanatidis,Right Winger,"Jan 23, 2006 (19)",Australia,"1,81m",right,"Jan 23, 2025",Sydney FC,"Jun 30, 2027",€125k
Jacob Brazete,Right Winger,"Jan 20, 2006 (19)","Australia, Portugal","1,78m",right,"Sep 19, 2024",Sydney FC II,"Jun 30, 2026",€125k
Adam Zimarino,Right Winger,"Aug 28, 2001 (23)",Australia,"1,82m",left,"Jul 1, 2024",Perth Glory,"Jun 30, 2025",€100k
Asumah Abubakar,Centre-Forward,"May 10, 1997 (27)","Portugal, Ghana","1,83m",right,"Feb 12, 2025",Grasshopper Club Zurich,"Jun 30, 2025",€100k
Ivan Ozzi,Centre-Forward,"Jan 28, 2004 (21)",Australia,"1,88m",left,,-,"Jun 30, 2025",-
