Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Dylan Peraić-Cullen,Goalkeeper,"Jul 25, 2006 (18)",Australia,"1,96m",right,"Aug 10, 2023",Central Coast Mariners II,"Jun 30, 2027",€300k
Adam Pavlesic,Goalkeeper,"Jul 30, 2002 (22)","Australia, Croatia","1,89m",right,"Jul 17, 2024",Sydney FC,"Jun 30, 2026",€100k
Jack Warshawsky,Goalkeeper,"Aug 8, 2004 (20)",Australia,"1,85m",right,"Jul 1, 2023",Western Sydney Wanderers II,"Jun 30, 2025",€50k
Jai Ajanovic,Goalkeeper,"Aug 31, 2008 (16)",Australia,-,,"Sep 10, 2024",Central Coast Mariners II,"Jun 30, 2027",-
Brian Kaltak,Centre-Back,"Sep 30, 1993 (31)",Vanuatu,"1,80m",right,"Sep 27, 2022",FK Beograd,"Jun 30, 2025",€500k
Trent Sainsbury,Centre-Back,"Jan 5, 1992 (33)","Australia, England","1,84m",right,"Aug 23, 2024",Al-Wakrah SC,"Jun 30, 2027",€500k
Nathan Paull,Centre-Back,"Aug 21, 2003 (21)",Australia,"1,85m",left,"Oct 25, 2023",Central Coast Mariners II,"Jun 30, 2025",€325k
Diesel Herrington,Centre-Back,"Aug 4, 2004 (20)",Australia,"1,88m",right,"Jul 18, 2024",Aarhus GF,"Jun 30, 2026",€150k
Rocco Smith,Centre-Back,"Dec 17, 2004 (20)",Australia,-,,,-,-,-
Michael Paragalli,Centre-Back,"Feb 20, 2006 (19)",Australia,-,right,,-,-,-
Lucas Mauragis,Left-Back,"Sep 4, 2001 (23)","Australia, Lithuania","1,81m",left,"Jul 1, 2024",Newcastle United Jets,"Jun 30, 2027",€400k
Noah Smith,Left-Back,"Dec 15, 2000 (24)",Australia,"1,82m",left,"Aug 2, 2023",Brisbane Roar,"Jun 30, 2025",€100k
Storm Roux,Right-Back,"Jan 13, 1993 (32)","New Zealand, Australia","1,81m",right,"Oct 1, 2021",Melbourne Victory,"Jun 30, 2026",€325k
Sasha Kuzevski,Right-Back,"Mar 27, 2001 (24)",Australia,"1,75m",right,"Jul 10, 2024",Central Coast Mariners II,"Jun 30, 2025",€125k
Alfie McCalmont,Defensive Midfield,"Mar 25, 2000 (25)","Northern Ireland, England","1,75m",right,"Jul 12, 2024",Carlisle United,"Jun 30, 2025",€300k
Harrison Steele,Defensive Midfield,"Oct 12, 2002 (22)",Australia,"1,70m",left,"Jul 25, 2022",Central Coast Mariners II,"Jun 30, 2027",€300k
Brad Tapp,Defensive Midfield,"Jan 16, 2001 (24)",Australia,"1,78m",right,"Dec 29, 2023",Central Coast Mariners II,"Jun 30, 2026",€250k
Lucas Scicluna,Defensive Midfield,"Nov 7, 2005 (19)","Malta, Australia","1,75m",right,,-,-,-
Will Wilson,Central Midfield,"Dec 23, 2001 (23)","Kenya, Australia","1,70m",right,"Aug 26, 2023",Melbourne Victory,"Jun 30, 2025",€150k
Haine Eames,Attacking Midfield,"Feb 27, 2008 (17)",Australia,"1,78m",right,"Jun 7, 2024",Central Coast Mariners II,"Jun 30, 2027",€125k
Logan Sambrook,Attacking Midfield,"Jan 16, 2008 (17)",Australia,-,,,-,"Jun 30, 2026",-
Christian Theoharous,Left Winger,"Dec 6, 1999 (25)","Australia, Cyprus","1,76m",left,"Jan 17, 2023",Western United FC,"Jun 30, 2025",€300k
Vitor Feijão,Left Winger,"Aug 1, 1996 (28)",Brazil,"1,69m",right,"Aug 1, 2024",SER Caxias do Sul (RS),"Jun 30, 2026",€150k
Abdul Faisal,Left Winger,"Oct 27, 2005 (19)",Australia,"1,78m",right,"Jan 20, 2025",Perth Glory,"Jun 30, 2026",€150k
Mikael Doka,Right Winger,"Jan 24, 2000 (25)",Brazil,"1,70m",right,"Aug 2, 2023",Santos FC B,"Jun 30, 2027",€450k
Miguel Di Pizio,Right Winger,"Jan 4, 2006 (19)",Australia,"1,71m",left,"Apr 12, 2023",Central Coast Mariners II,"Jun 30, 2026",€250k
Alou Kuol,Centre-Forward,"Jul 5, 2001 (23)","Australia, Southern Sudan","1,81m",right,"Jul 10, 2023",VfB Stuttgart,"Jun 30, 2026",€300k
Ryan Edmondson,Centre-Forward,"May 20, 2001 (23)",England,"1,88m",right,"Jan 26, 2024",Carlisle United,"Jun 30, 2026",€300k
Bailey Brandtman,Centre-Forward,"Jun 28, 2005 (19)",Australia,"1,88m",left,"Oct 30, 2023",Central Coast Mariners II,"Jun 30, 2025",€175k
Nicholas Duarte,Centre-Forward,"Dec 16, 2003 (21)",Australia,"1,77m",right,"Oct 30, 2023",Central Coast Mariners II,"Jun 30, 2025",€50k
Arthur De Lima,Centre-Forward,"Jun 11, 2007 (17)","Australia, Brazil","1,82m",,"Aug 20, 2024",Central Coast Mariners II,"Jun 30, 2027",€50k
