Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Filip Kurto,Goalkeeper,"Jun 14, 1991 (33)",Poland,"1,92m",right,"Oct 26, 2021",Western United FC,"Jun 30, 2026",€400k
Alex Robinson,Goalkeeper,"Mar 9, 2005 (20)",Australia,"1,87m",right,"Sep 20, 2022",Blacktown City FC,"Jun 30, 2026",€50k
Kevin Boli,Centre-Back,"Jun 21, 1991 (33)","Cote d'Ivoire, France","1,86m",right,"Feb 4, 2025",Kheybar Khorramabad FC,"Jun 30, 2025",€350k
Tomislav Uskok,Centre-Back,"Jun 22, 1991 (33)","Australia, Croatia","1,96m",right,"Jul 11, 2021",Western United FC,"Jun 30, 2025",€250k
Matthew Jurman,Centre-Back,"Dec 8, 1989 (35)","Australia, England","1,92m",left,"Jul 1, 2023",Newcastle United Jets,"Jun 30, 2025",€200k
Joshua Damevski,Centre-Back,"Sep 30, 2005 (19)",Australia,"1,81m",right,"Jul 29, 2024",Melbourne City FC U21,"Jun 30, 2026",€50k
Ivan Vujica,Left-Back,"Apr 20, 1997 (28)","Australia, Croatia","1,80m",left,"Jul 8, 2022",Western United FC,"Jun 30, 2025",€350k
Walter Scott,Left-Back,"Oct 2, 1999 (25)",Australia,"1,76m",left,"Jan 30, 2024",Wollongong Wolves FC,"Jun 30, 2025",€200k
Kealey Adamson,Right-Back,"Feb 17, 2003 (22)","Australia, Tanzania","1,85m",right,"Dec 7, 2023",Sydney FC II,"Jun 30, 2025",€350k
Yianni Nicolaou,Right-Back,"Jan 5, 2000 (25)","Australia, Greece","1,69m",right,"Sep 12, 2023",APIA Leichhardt FC,"Jun 30, 2025",€150k
Luke Brattan,Defensive Midfield,"Mar 8, 1990 (35)","Australia, England","1,75m",right,"Jul 1, 2024",Sydney FC,"Jun 30, 2025",€400k
Liam Rose,Defensive Midfield,"Apr 7, 1997 (28)",Australia,"1,75m",right,"Jul 1, 2024",El Paso Locomotive FC,"Jun 30, 2026",€250k
Kristian Popovic,Defensive Midfield,"Aug 14, 2001 (23)","Australia, Croatia","1,84m",right,"Jul 3, 2023",NK Medjimurje Cakovec,"Jun 30, 2025",€75k
Peter Makrillos,Central Midfield,"Sep 4, 1995 (29)","Australia, Greece","1,86m",right,"Jan 29, 2025",Suwon Samsung Bluewings,"Jun 30, 2025",€275k
Clayton Lewis,Central Midfield,"Feb 12, 1997 (28)",New Zealand,"1,73m",left,"Jul 1, 2023",Wellington Phoenix,"Jun 30, 2025",€250k
Frans Deli,Central Midfield,"Jul 8, 2005 (19)",Australia,"1,80m",right,"Mar 11, 2024",Bulls FC Academy,"Jun 30, 2026",€100k
Saîf-Eddine Khaoui,Attacking Midfield,"Apr 27, 1995 (30)","Tunisia, France","1,80m",left,"Feb 3, 2025",Without Club,"Jun 30, 2025",€1.20m
Jake Hollman,Attacking Midfield,"Aug 26, 2001 (23)",Australia,"1,80m",right,"Sep 10, 2020",Sydney FC II,"Jun 30, 2025",€400k
Daniel De Silva,Attacking Midfield,"Mar 6, 1997 (28)",Australia,"1,70m",right,"Jul 1, 2021",Central Coast Mariners,"Jun 30, 2025",€325k
Marin Jakolis,Left Winger,"Dec 26, 1996 (28)","Croatia, Australia","1,82m",right,"Jul 1, 2024",Angers SCO,"Jun 30, 2025",€850k
Chris Ikonomidis,Right Winger,"May 4, 1995 (30)","Australia, Greece","1,80m",right,"Jul 1, 2024",Melbourne Victory,"Jun 30, 2026",€300k
Bernardo Oliveira,Right Winger,"Mar 16, 2004 (21)","Australia, Brazil","1,71m",left,"Jan 16, 2024",Adelaide United,"Jun 30, 2025",€300k
Oliver Randazzo,Right Winger,"Jan 7, 2006 (19)",Australia,"1,8m",right,"Mar 11, 2024",Bulls FC Academy,"Jun 30, 2026",€50k
Henrique Oliveira,Right Winger,"Jan 17, 2009 (16)","Australia, Brazil",-,,"Jan 2, 2025",Adelaide United U21,"Jun 30, 2028",-
Dean Bosnjak,Centre-Forward,"Oct 11, 2006 (18)",Australia,"1,80m",right,"Aug 30, 2024",Bulls FC Academy,"Jun 30, 2025",€125k
Harry Sawyer,Centre-Forward,"Dec 31, 1996 (28)",Australia,"1,95m",right,"Sep 15, 2024",South Melbourne FC,"Jun 30, 2026",€100k
