Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Mitchell Langerak,Goalkeeper,"Aug 22, 1988 (36)",Australia,"1,93m",right,"Jan 16, 2025",Nagoya Grampus,"Jun 30, 2026",€275k
Jack Duncan,Goalkeeper,"Apr 19, 1993 (32)",Australia,"1,89m",right,"Jul 8, 2024",Wellington Phoenix,"Jun 30, 2025",€250k
Christian Siciliano,Goalkeeper,"Jul 11, 2003 (21)",Australia,"1,88m",right,"Sep 4, 2023",Melbourne Victory U21,"Jun 30, 2025",€50k
Daniel Graskoski,Goalkeeper,"Jan 28, 2007 (18)",Australia,"1,89m",both,"Jul 1, 2024",Melbourne Victory U21,"Jun 30, 2025",-
Roderick Miranda,Centre-Back,"Mar 30, 1991 (34)","Portugal, Brazil","1,93m",right,"Oct 1, 2021",Gaziantep FK,"Jun 30, 2025",€700k
Lachlan Jackson,Centre-Back,"Mar 12, 1995 (30)",Australia,"1,96m",,"Jan 29, 2025",Suwon FC,"Jun 30, 2026",€500k
Brendan Hamill,Centre-Back,"Sep 18, 1992 (32)","Australia, Ireland","1,85m",right,"Jul 10, 2024",Mohun Bagan Super Giant,"Jun 30, 2026",€325k
Joshua Inserra,Centre-Back,"Jan 21, 2005 (20)",Australia,"1,80m",right,"Jul 3, 2023",Melbourne Victory U21,"Jun 30, 2026",€50k
Kasey Bos,Left-Back,"May 8, 2004 (21)","Australia, Netherlands","1,80m",left,"Feb 8, 2024",Melbourne Victory U21,"Jun 30, 2027",€400k
Adama Traoré,Left-Back,"Feb 3, 1990 (35)","Cote d'Ivoire, Australia","1,70m",left,"Jul 13, 2023",Western Sydney Wanderers,"Jun 30, 2025",€150k
Joshua Rawlins,Right-Back,"Apr 23, 2004 (21)",Australia,"1,81m",right,"Jul 1, 2024",FC Utrecht U21,"Jun 30, 2026",€250k
Ryan Teague,Defensive Midfield,"Jan 24, 2002 (23)",Australia,"1,82m",left,"Sep 13, 2023",FC Famalicão U23,"Jun 30, 2026",€450k
Jordi Valadon,Defensive Midfield,"Mar 4, 2003 (22)",Australia,"1,74m",right,"Jul 5, 2023",Melbourne Victory U21,"Jun 30, 2027",€350k
Fabian Monge,Defensive Midfield,"Jun 12, 2001 (23)",Australia,"1,77m",right,"Sep 4, 2023",APIA Leichhardt FC,"Jun 30, 2025",€175k
Alexander Menelaou,Defensive Midfield,"Mar 21, 2004 (21)",Australia,"1,75m",right,"Jul 1, 2024",Melbourne Victory U21,"Jun 30, 2025",-
Luka Kolic,Central Midfield,"Sep 4, 2004 (20)",Australia,"1,83m",right,"Jul 1, 2024",Melbourne Victory U21,"Jun 30, 2025",-
Zinédine Machach,Attacking Midfield,"Jan 5, 1996 (29)","France, Morocco","1,85m",right,"Aug 8, 2023",Ionikos Nikeas,"Jun 30, 2026",€650k
Alex Badolato,Attacking Midfield,"Feb 23, 2005 (20)",Australia,"1,70m",right,"Feb 13, 2025",Western Sydney Wanderers,"Jun 30, 2025",€100k
Reno Piscopo,Left Winger,"May 27, 1998 (26)","Australia, Italy","1,70m",right,"Jul 5, 2024",Newcastle United Jets,"Jun 30, 2026",€500k
Nishan Velupillay,Left Winger,"May 7, 2001 (24)","Australia, Sri Lanka","1,81m",right,"Jul 1, 2021",Melbourne Victory U21,"Jun 30, 2026",€400k
Clarismario,Left Winger,"Jul 27, 2001 (23)",Brazil,"1,82m",left,"Oct 10, 2024",Without Club,"Jun 30, 2025",€350k
Daniel Arzani,Right Winger,"Jan 4, 1999 (26)",Australia,"1,75m",right,"Jul 9, 2023",Macarthur FC,"Jun 30, 2025",€500k
Nikolaos Vergos,Centre-Forward,"Jan 13, 1996 (29)",Greece,"1,84m",right,"Aug 8, 2024",Atromitos Athens,"Jun 30, 2026",€450k
Bruno Fornaroli,Centre-Forward,"Sep 7, 1987 (37)","Australia, Uruguay","1,74m",right,"Oct 31, 2022",Perth Glory,"Jun 30, 2025",€350k
Jing Reec,Centre-Forward,"Jun 12, 2003 (21)","Australia, Southern Sudan","1,88m",left,"Jul 3, 2024",Aarhus GF,"Jun 30, 2027",€150k
