Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Ryan Scott,Goalkeeper,"Dec 18, 1995 (29)","Australia, England","1,84m",right,"Jul 1, 2023",Western United FC,"Jun 30, 2025",€300k
Noah James,Goalkeeper,"Feb 14, 2001 (24)",Australia,"1,95m",both,"Aug 1, 2018",Newcastle United Jets U21,"Jun 30, 2026",-
Mark Natta,Centre-Back,"Nov 28, 2002 (22)","Australia, Italy","1,89m",left,"Jul 4, 2022",Western Sydney Wanderers,"Jun 30, 2026",€375k
Phillip Cancar,Centre-Back,"May 11, 2001 (23)","Croatia, Australia","1,86m",right,"Feb 8, 2023",Livingston FC,"Jun 30, 2026",€350k
Aleksandar Susnjar,Centre-Back,"Aug 19, 1995 (29)","Australia, Serbia","1,92m",left,"Jul 1, 2024",Perth Glory,"Jun 30, 2026",€300k
Ben Van Dorssen,Centre-Back,"May 11, 2005 (19)",Australia,"1,83m",right,"Jun 12, 2024",Newcastle United Jets U21,"Jun 30, 2026",-
Daniel Wilmering,Left-Back,"Dec 19, 2000 (24)","Australia, Germany","1,78m",left,"Jul 1, 2023",Western Sydney Wanderers,"Jun 30, 2025",€300k
Dane Ingham,Right-Back,"Jun 8, 1999 (25)","New Zealand, Australia","1,86m",right,"Jul 1, 2021",Perth Glory,"Jun 30, 2025",€400k
Thomas Aquilina,Right-Back,"Feb 2, 2001 (24)","Australia, Malta","1,78m",right,"Feb 8, 2023",Central Coast Mariners,"Jun 30, 2026",€375k
Kosta Grozos,Central Midfield,"Aug 10, 2000 (24)",Australia,"1,78m",right,"Sep 15, 2021",Western Sydney Wanderers,"Jun 30, 2026",€450k
Callum Timmins,Central Midfield,"Dec 23, 1999 (25)","Australia, England","1,82m",right,"Aug 4, 2022",Perth Glory,"Jun 30, 2025",€350k
Lachlan Bayliss,Central Midfield,"Jul 24, 2002 (22)","New Zealand, Australia","1,79m",right,"Jul 1, 2023",Central Coast Mariners,"Jun 30, 2026",€250k
Charles M'Mombwa,Central Midfield,"Mar 14, 1998 (27)","Tanzania, Australia","1,74m",right,"Jan 23, 2025",Without Club,"Jun 30, 2025",€200k
Matthew Scarcella,Central Midfield,"Mar 4, 2004 (21)","Australia, Italy","1,77m",right,"Jul 2, 2024",Sydney FC,"Jun 30, 2025",€100k
Will Dobson,Central Midfield,"Sep 7, 2007 (17)",Australia,"1,70m",right,"Aug 16, 2024",Newcastle United Jets U21,"Jun 30, 2026",€75k
Alex Nunes,Attacking Midfield,"Feb 22, 2007 (18)",Australia,"1,72m",right,"Jun 17, 2024",Newcastle United Jets U21,"Jun 30, 2026",-
Clayton Taylor,Left Winger,"Mar 1, 2004 (21)",Australia,"1,75m",left,"Jul 1, 2023",Sydney FC II,"Jun 30, 2025",€350k
Wellissol,Left Winger,"Feb 16, 1998 (27)",Brazil,"1,83m",right,"Sep 15, 2024",Brusque Futebol Clube (SC),"Jun 30, 2025",€100k
Oscar Fryer,Left Winger,"Apr 16, 2006 (19)",Australia,"1,78m",right,"Jul 1, 2024",Sydney FC II,"Jun 30, 2026",-
Kota Mizunuma,Right Winger,"Feb 22, 1990 (35)",Japan,"1,76m",right,"Jan 21, 2025",Yokohama F. Marinos,"Jun 30, 2025",€350k
Eli Adams,Right Winger,"Mar 12, 2002 (23)",Australia,"1,83m",left,"Jul 1, 2024",Melbourne Victory,"Jun 30, 2027",€250k
Lachlan Rose,Centre-Forward,"May 10, 1999 (25)",Australia,"1,70m",right,"Jul 21, 2024",Macarthur FC,"Jun 30, 2026",€275k
Ben Gibson,Centre-Forward,"Jan 3, 2003 (22)",Australia,"1,84m",right,"Sep 9, 2024",APIA Leichhardt FC,"Jun 30, 2026",€175k
Justin Vidic,Centre-Forward,"Apr 29, 2004 (21)",Australia,"1,87m",right,"Sep 12, 2023",Marconi Stallions FC,"Jun 30, 2025",€100k
