Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Andrew Redmayne,Goalkeeper,"Jan 13, 1989 (36)",Australia,"1,94m",right,"Jan 2, 2017",Western Sydney Wanderers,"Jun 30, 2025",€300k
Harrison Devenish-Meares,Goalkeeper,"Oct 27, 1996 (28)",Australia,"1,90m",right,"Jul 1, 2024",Rockdale Ilinden FC,"Jun 30, 2027",€200k
Gus Hoefsloot,Goalkeeper,"Mar 13, 2006 (19)","Australia, Netherlands","1,91m",right,"Jul 1, 2023",Sydney FC II,"Jun 30, 2026",€50k
Alex Grant,Centre-Back,"Jan 23, 1994 (31)","Australia, England","1,91m",,"Feb 1, 2025",Tianjin Jinmen Tiger,"Jun 30, 2025",€450k
Alexandar Popovic,Centre-Back,"Sep 7, 2002 (22)",Australia,"1,84m",right,"Feb 4, 2025",Gwangju FC,"Jun 30, 2028",€350k
Aaron Gurd,Centre-Back,"Sep 18, 2001 (23)","Australia, Thailand","1,88m",right,"May 12, 2022",Sydney FC II,"Jun 30, 2026",€175k
Kyle Shaw,Centre-Back,"Mar 22, 2004 (21)","Australia, Ireland","1,96m",right,,-,-,-
Jordan Courtney-Perkins,Left-Back,"Nov 6, 2002 (22)",Australia,"1,89m",left,"Sep 15, 2023",Raków Częstochowa,"Jun 30, 2026",€450k
Joel King,Left-Back,"Oct 30, 2000 (24)",Australia,"1,79m",left,"Jul 1, 2023",Odense Boldklub,"Jun 30, 2026",€400k
Will Kennedy,Left-Back,"Feb 14, 2005 (20)","Australia, England","1,86m",right,"Jan 9, 2025",Sydney FC II,"Jun 30, 2026",€50k
Rhyan Grant,Right-Back,"Feb 26, 1991 (34)",Australia,"1,74m",right,"Jan 1, 2009",FFA Centre of Excellence (- 2017),"Jun 30, 2026",€450k
Zach De Jesus,Right-Back,"Feb 4, 2006 (19)",Australia,"1,73m",right,"Jul 12, 2023",Sydney FC U21,"Jun 30, 2026",€50k
Léo Sena,Defensive Midfield,"Dec 31, 1995 (29)",Brazil,"1,75m",right,"Aug 16, 2024",EC Água Santa (SP),"Jun 30, 2026",€550k
Corey Hollman,Defensive Midfield,"Sep 25, 2003 (21)",Australia,"1,80m",right,"May 25, 2022",Sydney FC II,"Jun 30, 2026",€350k
Wataru Kamijo,Central Midfield,"Apr 17, 2006 (19)","Australia, Japan","1,78m",right,"Sep 22, 2023",Sydney FC U21,"Jun 30, 2026",€100k
Lachlan Middleton,Central Midfield,"Feb 22, 2006 (19)","Australia, England","1,83m",right,"Apr 19, 2024",Sydney FC II,"Jun 30, 2027",€25k
Anas Ouahim,Attacking Midfield,"Sep 23, 1997 (27)","Morocco, Germany","1,75m",right,"Jul 9, 2024",Heracles Almelo,"Jun 30, 2026",€600k
Anthony Cáceres,Attacking Midfield,"Sep 29, 1992 (32)","Australia, Uruguay","1,73m",right,"Jul 4, 2019",Manchester City,"Jun 30, 2025",€600k
Max Burgess,Attacking Midfield,"Jan 16, 1995 (30)",Australia,"1,85m",left,"Jul 1, 2021",Western United FC,"Jun 30, 2025",€350k
Tiago Quintal,Attacking Midfield,"Jun 16, 2006 (18)","Australia, Portugal","1,76m",left,"Apr 24, 2024",Sydney FC II,"Jun 30, 2027",€100k
Joseph Lacey,Attacking Midfield,"Jun 22, 2007 (17)","Australia, England","1,78m",right,"Nov 27, 2023",Sydney FC II,"Jun 30, 2027",€25k
Jaiden Kucharski,Left Winger,"Jun 25, 2002 (22)","Australia, Poland","1,80m",right,"May 12, 2022",Sydney FC II,"Jun 30, 2025",€400k
Marin France,Left Winger,"Feb 1, 2007 (18)",Australia,"1,75m",right,"Jun 6, 2024",Sydney FC II,"Jun 30, 2027",€50k
Joe Lolley,Right Winger,"Aug 25, 1992 (32)",England,"1,79m",left,"Aug 15, 2022",Nottingham Forest,"Jun 30, 2026",€1.30m
Douglas Costa,Right Winger,"Sep 14, 1990 (34)",Brazil,"1,72m",left,"Aug 26, 2024",Fluminense Football Club,"Jun 30, 2026",€700k
Adrian Segecic,Right Winger,"Jun 1, 2004 (20)","Australia, Croatia","1,73m",left,"May 9, 2022",Sydney FC II,"Jun 30, 2025",€400k
Patryk Klimala,Centre-Forward,"Aug 5, 1998 (26)",Poland,"1,83m",right,"Sep 9, 2024",Slask Wroclaw,"Jun 30, 2025",€600k
Jaushua Sotirio,Centre-Forward,"Oct 11, 1995 (29)","Neukaledonien, Australia","1,75m",right,"Jan 17, 2025",Kerala Blasters FC,"Jun 30, 2025",€250k
Alen Harbas,Centre-Forward,"Feb 26, 2004 (21)","Australia, Bosnia-Herzegovina","1,90m",right,"Jul 16, 2023",Sydney FC II,,€50k
