Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Joshua Oluwayemi,Goalkeeper,"Mar 13, 2001 (24)","Nigeria, England","1,85m",right,"Aug 14, 2024",FC Lahti,"Jun 30, 2026",€300k
Alby Kelly-Heald,Goalkeeper,"Mar 18, 2005 (20)",New Zealand,"1,96m",right,"Dec 19, 2023",Wellington Phoenix FC Reserves,"Jun 30, 2027",€100k
Dublin Boon,Goalkeeper,"Dec 25, 2004 (20)",New Zealand,"1,89m",right,"Aug 30, 2024",Wellington Phoenix FC Reserves,"Jun 30, 2025",€100k
Isaac Hughes,Centre-Back,"Mar 25, 2004 (21)","New Zealand, England","1,83m",right,"Sep 13, 2023",Wellington Phoenix FC Reserves,"Jun 30, 2028",€300k
Scott Wootton,Centre-Back,"Sep 12, 1991 (33)",England,"1,88m",right,"Jan 7, 2022",Morecambe FC,"Jun 30, 2025",€275k
Corban Piper,Centre-Back,"Sep 10, 2002 (22)",New Zealand,"1,81m",right,"Sep 16, 2024",Birkenhead United,"Jun 30, 2027",€250k
Jayden Smith,Centre-Back,"Jul 4, 2007 (17)","New Zealand, England","1,90m",right,"Oct 7, 2024",Wellington Phoenix FC Reserves,"Jun 30, 2027",€100k
Sam Sutton,Left-Back,"Dec 10, 2001 (23)","New Zealand, England","1,75m",left,"Oct 29, 2020",Wellington Phoenix FC Reserves,"Jun 30, 2025",€350k
Lukas Kelly-Heald,Left-Back,"Mar 18, 2005 (20)",New Zealand,"1,98m",left,"Jul 6, 2023",Wellington Phoenix FC Reserves,"Jun 30, 2027",€250k
Tim Payne,Right-Back,"Jan 10, 1994 (31)",New Zealand,"1,79m",right,"Jul 19, 2019",Eastern Suburbs AFC,"Jun 30, 2028",€450k
Tze-xuan Loke,Right-Back,"Mar 26, 2005 (20)","New Zealand, Singapore",-,right,"Dec 20, 2024",Wellington Phoenix FC Reserves,"Jun 30, 2027",€100k
Alex Rufer,Defensive Midfield,"Jun 12, 1996 (28)","New Zealand, Switzerland","1,84m",right,"Aug 1, 2013",YoungHeart Manawatu (2004 - 2013),"Jun 30, 2026",€600k
Paulo Retre,Defensive Midfield,"Mar 4, 1993 (32)","Australia, Portugal","1,70m",right,"Jul 26, 2024",FC Goa,"Jun 30, 2026",€350k
Matthew Sheridan,Central Midfield,"May 9, 2004 (20)",New Zealand,"1,81m",right,"Dec 19, 2023",Wellington Phoenix FC Reserves,"Jun 30, 2028",€250k
Kazuki Nagasawa,Central Midfield,"Dec 16, 1991 (33)",Japan,"1,72m",right,"Aug 29, 2024",Vegalta Sendai,"Jun 30, 2026",€225k
Fin Roa Conchie,Central Midfield,"Aug 10, 2003 (21)",New Zealand,"1,76m",right,"Aug 2, 2023",Wellington Phoenix FC Reserves,"Jun 30, 2026",€200k
Chico Geraldes,Attacking Midfield,"Apr 18, 1995 (30)",Portugal,"1,75m",both,"Feb 12, 2025",Johor Darul Ta'zim,"Jun 30, 2025",€1.00m
Luke Brooke-Smith,Attacking Midfield,"Jun 6, 2008 (16)",New Zealand,"1,73m",right,"Aug 13, 2024",Hamilton Wanderers,"Jun 30, 2027",€75k
Nathan Walker,Left Winger,"Jan 30, 2006 (19)",New Zealand,"1,78m",right,"Oct 31, 2024",Wellington Phoenix FC Reserves,"Jun 30, 2028",€175k
Gabriel Sloane-Rodrigues,Right Winger,"Jul 3, 2007 (17)","New Zealand, Brazil","1,76m",right,"Apr 16, 2024",Wellington Phoenix FC Reserves,"Jun 30, 2027",€75k
Hideki Ishige,Second Striker,"Sep 21, 1994 (30)",Japan,"1,70m",right,"Sep 2, 2024",Gamba Osaka,"Jun 30, 2026",€400k
Kosta Barbarouses,Centre-Forward,"Feb 19, 1990 (35)","New Zealand, Greece","1,71m",both,"Jul 1, 2022",Sydney FC,"Jun 30, 2025",€375k
Stefan Colakovski,Centre-Forward,"Apr 20, 2000 (25)","North Macedonia, Australia","1,77m",right,"Oct 10, 2024",Without Club,"Jun 30, 2025",€350k
Luke Supyk,Centre-Forward,"Mar 4, 2006 (19)","New Zealand, England","1,82m",right,"Sep 27, 2023",Wellington Phoenix FC Reserves,"Jun 30, 2026",€100k
