Player,Position,DOB/Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Lawrence Thomas,Goalkeeper,"May 9, 1992 (32)","Australia, Italy","1,91m",right,"Jul 1, 2022",Sönderjyske,"Jun 30, 2027",€400k
Jordan Holmes,Goalkeeper,"May 8, 1997 (28)",Australia,"1,88m",right,"Aug 23, 2024",Rochedale Rovers,"Jun 30, 2025",€150k
Taiga Oliver Harper,Goalkeeper,"May 31, 2005 (19)",Australia,"1,84m",right,"Jan 11, 2024",Kashiwa Reysol U18,"Jun 30, 2025",€50k
Tristan Vidackovic,Goalkeeper,"Mar 31, 2003 (22)",Australia,"2,01m",right,"Jul 1, 2024",CF Vasco da Gama,"Jun 30, 2025",€50k
Tae-wook Jeong,Centre-Back,"May 16, 1997 (27)","Korea, South","1,95m",right,"Aug 3, 2024",Jeonbuk Hyundai Motors,"Jun 30, 2025",€500k
Alex Bonetig,Centre-Back,"Aug 20, 2002 (22)",Australia,"1,87m",left,"Jun 9, 2022",Western Sydney Wanderers II,"Jun 30, 2026",€375k
Joshua Laws,Centre-Back,"Feb 26, 1998 (27)","Australia, Scotland","1,85m",left,"Feb 10, 2025",Without Club,"Jun 30, 2025",€300k
Anthony Pantazopoulos,Centre-Back,"Apr 22, 2003 (22)",Australia,"1,87m",right,"Jul 5, 2023",Oakleigh Cannons FC,"Jun 30, 2027",€150k
Nathan Barrie,Centre-Back,"May 29, 2006 (18)",Australia,"1,81m",left,"May 22, 2024",Western Sydney Wanderers II,"Jun 30, 2027",€50k
Jack Clisby,Left-Back,"Feb 16, 1992 (33)",Australia,"1,80m",left,"Jul 1, 2023",Perth Glory,"Jun 30, 2025",€350k
Alex Gersbach,Left-Back,"May 8, 1997 (28)","Australia, Greece","1,83m",left,"Jan 16, 2025",Kalmar FF,"Jun 30, 2027",€200k
Gabriel Cléùr,Right-Back,"Jan 31, 1998 (27)","Australia, Italy","1,81m",right,"Jul 1, 2022",Virtus Entella,"Jun 30, 2025",€400k
Aidan Simmons,Right-Back,"May 26, 2003 (21)",Australia,"1,73m",right,"Jul 1, 2022",Sydney FC II,"Jun 30, 2026",€300k
Jesse Cameron,Right-Back,"Aug 11, 2005 (19)",Australia,"1,85m",right,"Jan 1, 2025",Western Sydney Wanderers II,"Jun 30, 2027",€50k
Joshua Brillante,Defensive Midfield,"Mar 25, 1993 (32)","Australia, Italy","1,77m",right,"Jul 9, 2023",Melbourne Victory,"Jun 30, 2025",€450k
Mohamed Al-Taay,Defensive Midfield,"Jun 15, 2000 (24)","Iraq, Australia","1,72m",right,"Jan 23, 2025",Wellington Phoenix,"Jun 30, 2026",€275k
Dylan Scicluna,Central Midfield,"Jun 10, 2004 (20)","Malta, Australia","1,75m",right,"Sep 3, 2023",Wolverhampton Wanderers U21,"Jun 30, 2027",€325k
Oscar Priestman,Central Midfield,"Mar 25, 2003 (22)",Australia,"1,75m",right,"Jan 1, 2024",Western Sydney Wanderers II,"Jun 30, 2027",€275k
Dean Pelekanos,Central Midfield,"Jan 5, 2001 (24)",Australia,"1,80m",right,"Sep 10, 2024",Rockdale Ilinden FC,"Jun 30, 2025",€175k
Juan Mata,Attacking Midfield,"Apr 28, 1988 (37)",Spain,"1,70m",left,"Sep 5, 2024",Without Club,"Jun 30, 2025",€500k
Bozhidar Kraev,Left Winger,"Jun 23, 1997 (27)",Bulgaria,"1,86m",right,"Jul 16, 2024",Wellington Phoenix,"Jun 30, 2026",€600k
Nicolas Milanovic,Right Winger,"Nov 14, 2001 (23)","Australia, Croatia","1,85m",left,"Feb 7, 2023",Western United FC,"Jun 30, 2026",€700k
Jarrod Carluccio,Right Winger,"Feb 8, 2001 (24)",Australia,"1,78m",left,"Jan 16, 2025",Perth Glory,"Jun 30, 2026",€300k
Aydan Hammond,Right Winger,"Dec 23, 2003 (21)","Australia, Peru","1,75m",right,"Jan 18, 2024",Central Coast Mariners II,"Jun 30, 2026",€150k
Brandon Borrello,Centre-Forward,"Jul 25, 1995 (29)","Australia, Italy","1,78m",right,"Jul 26, 2022",SG Dynamo Dresden,"Jun 30, 2027",€750k
Marcus Antonsson,Centre-Forward,"May 8, 1991 (34)",Sweden,"1,84m",right,"Jul 1, 2023",Al-Adalah FC,"Jun 30, 2025",€550k
Zachary Sapsford,Centre-Forward,"Aug 16, 2002 (22)",Australia,"1,85m",right,"Jul 1, 2022",Sydney FC II,"Jun 30, 2025",€300k
James Temelkovski,Centre-Forward,"Apr 26, 1998 (27)",Australia,"1,88m",both,"Sep 11, 2024",Marconi Stallions FC,"Jun 30, 2025",€100k
